location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
BM,2020-01-01,ChIJpbBohp4TLYoRvLiZLMf93zw,Q23635,country/BMU,BM,Bermuda,BM,BMU,0,0,0,,0,0,,,,,,,,62273,32322,34524,0,63918,1245.46,7430,7680,8063,7719,7253,10229,9484,5676,3313,1993208,32.333333,-64.75,25,4290,22,38,81.651707,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.444444,20.277778,22.5,0.0,18.777778,84.792836
BM,2020-01-02,ChIJpbBohp4TLYoRvLiZLMf93zw,Q23635,country/BMU,BM,Bermuda,BM,BMU,0,0,0,,0,0,,,,,,,,62273,32322,34524,0,63918,1245.46,7430,7680,8063,7719,7253,10229,9484,5676,3313,1993208,32.333333,-64.75,25,4290,22,38,81.651707,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.666667,18.0,21.0,0.254,12.555556,63.530569
BM,2020-01-03,ChIJpbBohp4TLYoRvLiZLMf93zw,Q23635,country/BMU,BM,Bermuda,BM,BMU,0,0,0,,0,0,,,,,,,,62273,32322,34524,0,63918,1245.46,7430,7680,8063,7719,7253,10229,9484,5676,3313,1993208,32.333333,-64.75,25,4290,22,38,81.651707,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17.5,13.388889,20.611111,0.0,11.166667,66.390453
BM,2020-01-04,ChIJpbBohp4TLYoRvLiZLMf93zw,Q23635,country/BMU,BM,Bermuda,BM,BMU,0,0,0,,0,0,,,,,,,,62273,32322,34524,0,63918,1245.46,7430,7680,8063,7719,7253,10229,9484,5676,3313,1993208,32.333333,-64.75,25,4290,22,38,81.651707,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.5,19.0,23.0,0.0,16.833333,79.506226
BM,2020-01-05,ChIJpbBohp4TLYoRvLiZLMf93zw,Q23635,country/BMU,BM,Bermuda,BM,BMU,0,0,0,,0,0,,,,,,,,62273,32322,34524,0,63918,1245.46,7430,7680,8063,7719,7253,10229,9484,5676,3313,1993208,32.333333,-64.75,25,4290,22,38,81.651707,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.666667,17.722222,23.722222,4.572,16.777778,78.416786
BM,2020-01-06,ChIJpbBohp4TLYoRvLiZLMf93zw,Q23635,country/BMU,BM,Bermuda,BM,BMU,0,0,0,,0,0,,,,,,,,62273,32322,34524,0,63918,1245.46,7430,7680,8063,7719,7253,10229,9484,5676,3313,1993208,32.333333,-64.75,25,4290,22,38,81.651707,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17.333333,15.5,23.722222,0.254,9.944444,61.84725
BM,2020-01-07,ChIJpbBohp4TLYoRvLiZLMf93zw,Q23635,country/BMU,BM,Bermuda,BM,BMU,0,0,0,,0,0,,,,,,,,62273,32322,34524,0,63918,1245.46,7430,7680,8063,7719,7253,10229,9484,5676,3313,1993208,32.333333,-64.75,25,4290,22,38,81.651707,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18.944444,17.0,21.0,0.0,9.722222,55.07023
BM,2020-01-08,ChIJpbBohp4TLYoRvLiZLMf93zw,Q23635,country/BMU,BM,Bermuda,BM,BMU,0,0,0,,0,0,,,,,,,,62273,32322,34524,0,63918,1245.46,7430,7680,8063,7719,7253,10229,9484,5676,3313,1993208,32.333333,-64.75,25,4290,22,38,81.651707,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.611111,16.722222,21.722222,1.778,14.333333,71.574045
BM,2020-01-09,ChIJpbBohp4TLYoRvLiZLMf93zw,Q23635,country/BMU,BM,Bermuda,BM,BMU,0,0,0,,0,0,,,,,,,,62273,32322,34524,0,63918,1245.46,7430,7680,8063,7719,7253,10229,9484,5676,3313,1993208,32.333333,-64.75,25,4290,22,38,81.651707,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18.055556,16.722222,21.722222,1.524,9.277778,56.510278
BM,2020-01-10,ChIJpbBohp4TLYoRvLiZLMf93zw,Q23635,country/BMU,BM,Bermuda,BM,BMU,0,0,0,,0,0,,,,,,,,62273,32322,34524,0,63918,1245.46,7430,7680,8063,7719,7253,10229,9484,5676,3313,1993208,32.333333,-64.75,25,4290,22,38,81.651707,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,16.666667,15.5,19.277778,0.0,8.333333,57.880278
BM,2020-01-11,ChIJpbBohp4TLYoRvLiZLMf93zw,Q23635,country/BMU,BM,Bermuda,BM,BMU,0,0,0,,0,0,,,,,,,,62273,32322,34524,0,63918,1245.46,7430,7680,8063,7719,7253,10229,9484,5676,3313,1993208,32.333333,-64.75,25,4290,22,38,81.651707,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18.388889,15.277778,21.111111,0.0,12.111111,66.821489
BM,2020-01-12,ChIJpbBohp4TLYoRvLiZLMf93zw,Q23635,country/BMU,BM,Bermuda,BM,BMU,0,0,0,,0,0,,,,,,,,62273,32322,34524,0,63918,1245.46,7430,7680,8063,7719,7253,10229,9484,5676,3313,1993208,32.333333,-64.75,25,4290,22,38,81.651707,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.944444,16.111111,22.722222,0.0,14.611111,67.107948
