location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
CV,2020-01-01,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,CV,CPV,0,0,0,,0,0,,,,,,,555988,279117,276871,185906,364029,137.962,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6597,1981845740,3603,535774,15.916667,-24.083333,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.833333,20.255556,25.044444,0.0,16.9,69.27856
CV,2020-01-02,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,CV,CPV,0,1,2,,1,2,,,,,,,555988,279117,276871,185906,364029,137.962,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6597,1981845740,3603,535774,15.916667,-24.083333,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.877778,20.366667,25.144444,0.0,16.577778,67.755339
CV,2020-01-03,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,CV,CPV,0,0,0,,1,2,,,,,,,555988,279117,276871,185906,364029,137.962,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6597,1981845740,3603,535774,15.916667,-24.083333,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.433333,19.444444,25.044444,0.0,15.855556,66.477955
CV,2020-01-04,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,CV,CPV,0,0,0,,1,2,,,,,,,555988,279117,276871,185906,364029,137.962,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6597,1981845740,3603,535774,15.916667,-24.083333,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.744444,20.033333,25.466667,0.0,15.588889,64.141301
CV,2020-01-05,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,CV,CPV,0,0,0,,1,2,,,,,,,555988,279117,276871,185906,364029,137.962,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6597,1981845740,3603,535774,15.916667,-24.083333,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.344444,19.444444,24.744444,0.0,13.6,57.913754
CV,2020-01-06,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,CV,CPV,0,0,0,,1,2,,,,,,,555988,279117,276871,185906,364029,137.962,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6597,1981845740,3603,535774,15.916667,-24.083333,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.544444,19.722222,25.077778,0.0,12.866667,54.357898
CV,2020-01-07,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,CV,CPV,0,0,0,,1,2,,,,,,,555988,279117,276871,185906,364029,137.962,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6597,1981845740,3603,535774,15.916667,-24.083333,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.733333,19.433333,24.055556,0.0,13.277778,58.658145
CV,2020-01-08,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,CV,CPV,0,0,0,,1,2,,,,,,,555988,279117,276871,185906,364029,137.962,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6597,1981845740,3603,535774,15.916667,-24.083333,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.855556,19.277778,24.244444,0.0,11.866667,53.074019
CV,2020-01-09,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,CV,CPV,0,0,0,,1,2,,,,,,,555988,279117,276871,185906,364029,137.962,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6597,1981845740,3603,535774,15.916667,-24.083333,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.466667,18.455556,24.1,0.0,11.011111,51.381108
CV,2020-01-10,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,CV,CPV,0,0,0,,1,2,,,,,,,555988,279117,276871,185906,364029,137.962,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6597,1981845740,3603,535774,15.916667,-24.083333,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.355556,18.211111,24.1,0.0,11.422222,53.177557
