location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
CY,2020-01-01,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,CY,CYP,0,0,0,,0,0,,,,,,,,875899,427831,448068,397867,800708,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,32013,24942615800,28674,0.751,307787,35.0,33.0,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,5.2512,1.9509,1731.694458,772.890503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.048611,8.159722,16.0,3.175,,8.347222,78.263415
CY,2020-01-02,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,CY,CYP,0,0,0,,0,0,,,,,,,,875899,427831,448068,397867,800708,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,32013,24942615800,28674,0.751,307787,35.0,33.0,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,5.2512,1.9509,1731.694458,772.890503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.791667,8.354167,14.75,5.68325,,8.416667,80.009618
CY,2020-01-03,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,CY,CYP,0,0,0,,0,0,,,,,,,,875899,427831,448068,397867,800708,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,32013,24942615800,28674,0.751,307787,35.0,33.0,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,5.2512,1.9509,1731.694458,772.890503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.138889,8.659722,13.625,8.98525,10.16,8.361111,83.249105
CY,2020-01-04,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,CY,CYP,0,0,0,,0,0,,,,,,,,875899,427831,448068,397867,800708,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,32013,24942615800,28674,0.751,307787,35.0,33.0,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,5.2512,1.9509,1731.694458,772.890503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.104167,6.618056,15.666667,5.969,,7.208333,72.33128
CY,2020-01-05,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,CY,CYP,0,0,0,,0,0,,,,,,,,875899,427831,448068,397867,800708,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,32013,24942615800,28674,0.751,307787,35.0,33.0,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,5.2512,1.9509,1731.694458,772.890503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13.277778,8.930556,16.951389,1.3335,,7.715278,69.428081
CY,2020-01-06,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,CY,CYP,0,0,0,,0,0,,,,,,,,875899,427831,448068,397867,800708,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,32013,24942615800,28674,0.751,307787,35.0,33.0,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,5.2512,1.9509,1731.694458,772.890503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.347222,9.645833,16.555556,5.08,10.16,9.541667,73.046081
CY,2020-01-07,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,CY,CYP,0,0,0,,0,0,,,,,,,,875899,427831,448068,397867,800708,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,32013,24942615800,28674,0.751,307787,35.0,33.0,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,5.2512,1.9509,1731.694458,772.890503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.597222,8.965278,13.784722,17.4625,20.32,7.909722,78.423039
CY,2020-01-08,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,CY,CYP,0,0,0,,0,0,,,,,,,,875899,427831,448068,397867,800708,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,32013,24942615800,28674,0.751,307787,35.0,33.0,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,5.2512,1.9509,1731.694458,772.890503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.569444,7.881944,13.694444,14.31925,10.16,7.777778,83.2196
CY,2020-01-09,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,CY,CYP,0,0,0,,0,0,,,,,,,,875899,427831,448068,397867,800708,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,32013,24942615800,28674,0.751,307787,35.0,33.0,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,5.2512,1.9509,1731.694458,772.890503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.333333,8.534722,15.451389,19.84375,,5.756944,64.52931
CY,2020-01-10,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,CY,CYP,0,0,0,,0,0,,,,,,,,875899,427831,448068,397867,800708,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,32013,24942615800,28674,0.751,307787,35.0,33.0,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,5.2512,1.9509,1731.694458,772.890503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.736111,6.284722,15.819444,0.4445,,3.444444,57.142349
