location_key,date,place_id,wikidata_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
GG,2020-01-01,ChIJ33aRLjJyDUgRy2rAnmNjANE,Q3311985,GG,Guernsey,GG,GGY,0,0,0,0,0,,,,,,,63276,28003,28368,5407,5513,6844,7366,7524,8677,6759,5038,3243,3064410,49.4558,-2.5775,63,7.888889,6.675926,8.953704,0.592667,,7.411111,98.070444
GG,2020-01-02,ChIJ33aRLjJyDUgRy2rAnmNjANE,Q3311985,GG,Guernsey,GG,GGY,0,0,0,0,0,,,,,,,63276,28003,28368,5407,5513,6844,7366,7524,8677,6759,5038,3243,3064410,49.4558,-2.5775,63,9.666667,7.759259,11.157407,0.399143,,7.851852,89.136526
GG,2020-01-03,ChIJ33aRLjJyDUgRy2rAnmNjANE,Q3311985,GG,Guernsey,GG,GGY,0,0,0,0,0,,,,,,,63276,28003,28368,5407,5513,6844,7366,7524,8677,6759,5038,3243,3064410,49.4558,-2.5775,63,9.380952,7.690476,11.206349,1.27,,6.888889,84.978418
GG,2020-01-04,ChIJ33aRLjJyDUgRy2rAnmNjANE,Q3311985,GG,Guernsey,GG,GGY,0,0,0,0,0,,,,,,,63276,28003,28368,5407,5513,6844,7366,7524,8677,6759,5038,3243,3064410,49.4558,-2.5775,63,8.285714,6.388889,10.253968,0.550333,,4.981481,79.751589
GG,2020-01-05,ChIJ33aRLjJyDUgRy2rAnmNjANE,Q3311985,GG,Guernsey,GG,GGY,0,0,0,0,0,,,,,,,63276,28003,28368,5407,5513,6844,7366,7524,8677,6759,5038,3243,3064410,49.4558,-2.5775,63,7.571429,5.928571,8.809524,0.254,,4.222222,79.082358
GG,2020-01-06,ChIJ33aRLjJyDUgRy2rAnmNjANE,Q3311985,GG,Guernsey,GG,GGY,0,0,0,0,0,,,,,,,63276,28003,28368,5407,5513,6844,7366,7524,8677,6759,5038,3243,3064410,49.4558,-2.5775,63,7.357143,4.0,10.507937,1.27,,5.481481,88.06144
GG,2020-01-07,ChIJ33aRLjJyDUgRy2rAnmNjANE,Q3311985,GG,Guernsey,GG,GGY,0,0,0,0,0,,,,,,,63276,28003,28368,5407,5513,6844,7366,7524,8677,6759,5038,3243,3064410,49.4558,-2.5775,63,10.626984,7.65873,12.912698,1.397,,10.027778,96.667532
GG,2020-01-08,ChIJ33aRLjJyDUgRy2rAnmNjANE,Q3311985,GG,Guernsey,GG,GGY,0,0,0,0,0,,,,,,,63276,28003,28368,5407,5513,6844,7366,7524,8677,6759,5038,3243,3064410,49.4558,-2.5775,63,11.555556,10.981481,12.518519,1.312333,,11.148148,98.378916
GG,2020-01-09,ChIJ33aRLjJyDUgRy2rAnmNjANE,Q3311985,GG,Guernsey,GG,GGY,0,0,0,0,0,,,,,,,63276,28003,28368,5407,5513,6844,7366,7524,8677,6759,5038,3243,3064410,49.4558,-2.5775,63,10.738095,7.31746,12.738095,4.148667,,9.5,92.938048
GG,2020-01-10,ChIJ33aRLjJyDUgRy2rAnmNjANE,Q3311985,GG,Guernsey,GG,GGY,0,0,0,0,0,,,,,,,63276,28003,28368,5407,5513,6844,7366,7524,8677,6759,5038,3243,3064410,49.4558,-2.5775,63,8.103175,6.166667,9.642857,6.241143,,3.87963,75.26642
GG,2020-01-11,ChIJ33aRLjJyDUgRy2rAnmNjANE,Q3311985,GG,Guernsey,GG,GGY,0,0,0,0,0,,,,,,,63276,28003,28368,5407,5513,6844,7366,7524,8677,6759,5038,3243,3064410,49.4558,-2.5775,63,8.888889,6.373016,10.222222,0.0,,5.898148,81.155058
GG,2020-01-12,ChIJ33aRLjJyDUgRy2rAnmNjANE,Q3311985,GG,Guernsey,GG,GGY,0,0,0,0,0,,,,,,,63276,28003,28368,5407,5513,6844,7366,7524,8677,6759,5038,3243,3064410,49.4558,-2.5775,63,9.936508,7.785714,11.706349,0.550333,,7.5,84.953251
GG,2020-01-13,ChIJ33aRLjJyDUgRy2rAnmNjANE,Q3311985,GG,Guernsey,GG,GGY,0,0,0,0,0,,,,,,,63276,28003,28368,5407,5513,6844,7366,7524,8677,6759,5038,3243,3064410,49.4558,-2.5775,63,9.007937,6.460317,11.634921,0.211667,,7.287037,89.341631
GG,2020-01-14,ChIJ33aRLjJyDUgRy2rAnmNjANE,Q3311985,GG,Guernsey,GG,GGY,0,0,0,0,0,,,,,,,63276,28003,28368,5407,5513,6844,7366,7524,8677,6759,5038,3243,3064410,49.4558,-2.5775,63,11.285714,8.555556,13.079365,8.763,,9.666667,90.455733
GG,2020-01-15,ChIJ33aRLjJyDUgRy2rAnmNjANE,Q3311985,GG,Guernsey,GG,GGY,0,0,0,0,0,,,,,,,63276,28003,28368,5407,5513,6844,7366,7524,8677,6759,5038,3243,3064410,49.4558,-2.5775,63,9.222222,6.0,12.34127,7.831667,,6.731481,84.973158
GG,2020-01-16,ChIJ33aRLjJyDUgRy2rAnmNjANE,Q3311985,GG,Guernsey,GG,GGY,0,0,0,0,0,,,,,,,63276,28003,28368,5407,5513,6844,7366,7524,8677,6759,5038,3243,3064410,49.4558,-2.5775,63,9.849206,6.531746,12.960317,5.334,,7.731481,87.339328
GG,2020-01-17,ChIJ33aRLjJyDUgRy2rAnmNjANE,Q3311985,GG,Guernsey,GG,GGY,0,0,0,0,0,,,,,,,63276,28003,28368,5407,5513,6844,7366,7524,8677,6759,5038,3243,3064410,49.4558,-2.5775,63,7.944444,5.31746,10.849206,4.487333,,4.907407,81.464175
GG,2020-01-18,ChIJ33aRLjJyDUgRy2rAnmNjANE,Q3311985,GG,Guernsey,GG,GGY,0,0,0,0,0,,,,,,,63276,28003,28368,5407,5513,6844,7366,7524,8677,6759,5038,3243,3064410,49.4558,-2.5775,63,7.0,4.904762,9.063492,2.902857,,2.777778,74.936456
