location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
GQ,2020-01-01,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,0,0,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,27.777778,24.0,31.305556,0.0,23.347222,76.941557
GQ,2020-01-02,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,1,1,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,27.736111,24.0,30.652778,0.6985,23.486111,78.02407
GQ,2020-01-03,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,27.277778,23.5,30.0,0.0,21.777778,72.103826
GQ,2020-01-04,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,28.111111,22.75,31.125,0.0,22.25,70.871511
GQ,2020-01-05,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,28.513889,23.25,31.722222,0.0,23.180556,73.144067
GQ,2020-01-06,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,28.513889,24.5,31.638889,0.0,23.430556,74.231691
GQ,2020-01-07,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,28.044444,24.2,31.044444,0.0,23.933333,78.795448
GQ,2020-01-08,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,28.033333,24.4,31.044444,0.0,24.111111,79.509417
GQ,2020-01-09,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,26.411111,23.355556,28.4,13.0048,23.7,85.262561
GQ,2020-01-10,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,26.988889,22.4,30.9,0.0,22.777778,77.846047
