location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
HN,2020-01-01,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.962963,17.345679,29.753086,0.0,18.475309,72.274446
HN,2020-01-02,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.266667,19.033333,30.555556,0.3048,18.8,68.603909
HN,2020-01-03,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.372222,16.833333,31.716667,0.0,17.816667,63.880299
HN,2020-01-04,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.486111,17.111111,32.291667,0.0,19.944444,72.036196
HN,2020-01-05,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.986111,18.076389,29.979167,0.907143,18.791667,79.353938
HN,2020-01-06,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.561111,17.966667,25.683333,2.794,17.661111,80.21356
HN,2020-01-07,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.55,18.588889,26.872222,4.2164,18.761111,81.021486
HN,2020-01-08,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.305556,19.65,26.9,4.9022,18.516667,75.907521
HN,2020-01-09,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.772222,17.522222,27.133333,0.762,18.605556,78.055464
HN,2020-01-10,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.705556,19.672222,29.0,0.2794,19.544444,74.016972
HN,2020-01-11,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.611111,20.013889,29.243056,1.778,20.555556,74.990509
HN,2020-01-12,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.638889,20.722222,29.6875,1.30175,20.368056,73.778214
HN,2020-01-13,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.494444,20.05,29.016667,0.4572,19.65,75.272824
HN,2020-01-14,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.872222,20.094444,29.055556,0.9144,19.933333,74.700503
HN,2020-01-15,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.65,19.25,29.411111,3.9116,18.861111,70.944647
HN,2020-01-16,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.772222,19.4,28.95,1.4224,19.561111,77.925729
HN,2020-01-17,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.537037,20.290123,28.623457,4.515556,20.746914,80.269654
HN,2020-01-18,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.805556,20.638889,28.9375,1.27,20.194444,76.454781
HN,2020-01-19,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.895833,20.326389,28.923611,0.8255,20.208333,75.982132
HN,2020-01-20,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.314815,19.703704,28.432099,1.044222,19.796296,81.696844
HN,2020-01-21,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.072222,19.1,25.988889,11.684,18.777778,82.644585
HN,2020-01-22,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.405556,17.527778,25.461111,14.478,16.316667,73.747854
HN,2020-01-23,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.605556,15.755556,28.877778,4.4958,16.877778,70.897483
HN,2020-01-24,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.283333,17.366667,29.388889,0.0,18.227778,69.666929
HN,2020-01-25,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.166667,17.345679,29.444444,0.084667,18.17284,69.885743
HN,2020-01-26,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.549383,16.512346,29.62963,0.0,16.728395,66.560684
HN,2020-01-27,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.8,16.711111,29.8,0.0,17.761111,69.939346
HN,2020-01-28,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.177778,16.983333,30.633333,0.0,18.816667,72.440724
HN,2020-01-29,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.783333,18.433333,31.238889,0.0,19.277778,72.112489
HN,2020-01-30,ChIJzzG3cxp1ao8RZIL7toLe0X4,Q783,country/HND,HN,Honduras,HN,HND,0,0,0,0,0,,,,,,,9904608,4948880,4955728,4119684,5626433,1403162,1403162,88.521,0.606,2005992,2064638,1905418,1470937,1047736,680011,420078,205311,104487,25095395475,2574,0.49,287670,14.633333,-86.816667,112490,108150,3702,75.088,2.0,7.3,15.1,166.999,115.541,60.7,14.0,0.7357,0.3089,195.935745,95.423988,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.0,19.316667,31.411111,0.0,20.461111,72.430119
