location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
KP,2020-01-01,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,KP,PRK,0,0,0,,0,0,,25778815,12608379,13170436,9718749,15947412,3060864,3060864,214.092,3430371,3561229,3925716,3641894,3714316,3622786,2134683,1303959,443861,192734,40.0,127.0,120540,119243,2343,72.095,6.4,13.7,161.971,95.764,207.2,25.6,4.4489,3.6834,-8.272222,-14.594444,-0.805556,0.0,,-14.55,62.441138
KP,2020-01-02,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,KP,PRK,0,0,0,,0,0,,25778815,12608379,13170436,9718749,15947412,3060864,3060864,214.092,3430371,3561229,3925716,3641894,3714316,3622786,2134683,1303959,443861,192734,40.0,127.0,120540,119243,2343,72.095,6.4,13.7,161.971,95.764,207.2,25.6,4.4489,3.6834,-6.961111,-14.061111,0.883333,0.0,,-12.155556,68.264538
KP,2020-01-03,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,KP,PRK,0,0,0,,0,0,,25778815,12608379,13170436,9718749,15947412,3060864,3060864,214.092,3430371,3561229,3925716,3641894,3714316,3622786,2134683,1303959,443861,192734,40.0,127.0,120540,119243,2343,72.095,6.4,13.7,161.971,95.764,207.2,25.6,4.4489,3.6834,-5.372222,-11.761111,2.338889,0.0,,-10.994444,66.835763
KP,2020-01-04,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,KP,PRK,0,0,0,,0,0,,25778815,12608379,13170436,9718749,15947412,3060864,3060864,214.092,3430371,3561229,3925716,3641894,3714316,3622786,2134683,1303959,443861,192734,40.0,127.0,120540,119243,2343,72.095,6.4,13.7,161.971,95.764,207.2,25.6,4.4489,3.6834,-5.016667,-11.427778,3.105556,0.0,,-10.7,66.76048
KP,2020-01-05,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,KP,PRK,0,0,0,,0,0,,25778815,12608379,13170436,9718749,15947412,3060864,3060864,214.092,3430371,3561229,3925716,3641894,3714316,3622786,2134683,1303959,443861,192734,40.0,127.0,120540,119243,2343,72.095,6.4,13.7,161.971,95.764,207.2,25.6,4.4489,3.6834,-4.555556,-11.266667,3.788889,0.0,,-9.044444,71.49907
KP,2020-01-06,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,KP,PRK,0,0,0,,0,0,,25778815,12608379,13170436,9718749,15947412,3060864,3060864,214.092,3430371,3561229,3925716,3641894,3714316,3622786,2134683,1303959,443861,192734,40.0,127.0,120540,119243,2343,72.095,6.4,13.7,161.971,95.764,207.2,25.6,4.4489,3.6834,-0.861111,-7.75,2.127778,0.0635,,-4.144444,79.050807
KP,2020-01-07,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,KP,PRK,0,0,0,,0,0,,25778815,12608379,13170436,9718749,15947412,3060864,3060864,214.092,3430371,3561229,3925716,3641894,3714316,3622786,2134683,1303959,443861,192734,40.0,127.0,120540,119243,2343,72.095,6.4,13.7,161.971,95.764,207.2,25.6,4.4489,3.6834,1.416667,-1.288889,3.655556,13.9446,,0.055556,90.774774
KP,2020-01-08,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,KP,PRK,0,0,0,,0,0,,25778815,12608379,13170436,9718749,15947412,3060864,3060864,214.092,3430371,3561229,3925716,3641894,3714316,3622786,2134683,1303959,443861,192734,40.0,127.0,120540,119243,2343,72.095,6.4,13.7,161.971,95.764,207.2,25.6,4.4489,3.6834,-0.827778,-4.838889,2.733333,22.013333,,-3.016667,85.20584
KP,2020-01-09,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,KP,PRK,0,0,0,,0,0,,25778815,12608379,13170436,9718749,15947412,3060864,3060864,214.092,3430371,3561229,3925716,3641894,3714316,3622786,2134683,1303959,443861,192734,40.0,127.0,120540,119243,2343,72.095,6.4,13.7,161.971,95.764,207.2,25.6,4.4489,3.6834,-5.9,-10.755556,0.927778,1.3208,,-9.138889,78.246477
KP,2020-01-10,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,KP,PRK,0,0,0,,0,0,,25778815,12608379,13170436,9718749,15947412,3060864,3060864,214.092,3430371,3561229,3925716,3641894,3714316,3622786,2134683,1303959,443861,192734,40.0,127.0,120540,119243,2343,72.095,6.4,13.7,161.971,95.764,207.2,25.6,4.4489,3.6834,-6.733333,-11.833333,-0.616667,0.0,,-9.916667,79.010168
KP,2020-01-11,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,KP,PRK,0,0,0,,0,0,,25778815,12608379,13170436,9718749,15947412,3060864,3060864,214.092,3430371,3561229,3925716,3641894,3714316,3622786,2134683,1303959,443861,192734,40.0,127.0,120540,119243,2343,72.095,6.4,13.7,161.971,95.764,207.2,25.6,4.4489,3.6834,-5.327778,-11.538889,-0.322222,0.0,,-9.255556,74.94598
KP,2020-01-12,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,KP,PRK,0,0,0,,0,0,,25778815,12608379,13170436,9718749,15947412,3060864,3060864,214.092,3430371,3561229,3925716,3641894,3714316,3622786,2134683,1303959,443861,192734,40.0,127.0,120540,119243,2343,72.095,6.4,13.7,161.971,95.764,207.2,25.6,4.4489,3.6834,-6.805556,-11.516667,-1.138889,0.254,,-9.794444,79.605216
KP,2020-01-13,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,KP,PRK,0,0,0,,0,0,,25778815,12608379,13170436,9718749,15947412,3060864,3060864,214.092,3430371,3561229,3925716,3641894,3714316,3622786,2134683,1303959,443861,192734,40.0,127.0,120540,119243,2343,72.095,6.4,13.7,161.971,95.764,207.2,25.6,4.4489,3.6834,-8.505556,-13.35,-2.733333,0.381,,-13.15,70.853548
KP,2020-01-14,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,KP,PRK,0,0,0,,0,0,,25778815,12608379,13170436,9718749,15947412,3060864,3060864,214.092,3430371,3561229,3925716,3641894,3714316,3622786,2134683,1303959,443861,192734,40.0,127.0,120540,119243,2343,72.095,6.4,13.7,161.971,95.764,207.2,25.6,4.4489,3.6834,-8.8,-14.5,-2.627778,0.0508,,-12.5,75.452761
KP,2020-01-15,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,KP,PRK,0,0,0,,0,0,,25778815,12608379,13170436,9718749,15947412,3060864,3060864,214.092,3430371,3561229,3925716,3641894,3714316,3622786,2134683,1303959,443861,192734,40.0,127.0,120540,119243,2343,72.095,6.4,13.7,161.971,95.764,207.2,25.6,4.4489,3.6834,-8.833333,-14.433333,-0.905556,0.0254,,-12.894444,73.423253
