location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
LS,2020-01-01,ChIJ64xf1idIjB4Rsx7ReLhXLSM,Q1013,country/LSO,LS,Lesotho,LS,LSO,0,0,0,,0,0,,,,,,,,2142252,1056950,1085302,1517760,607508,70.562,0.52,478748,428821,395192,327281,210251,140771,96813,48309,16066,2460072443,1157,0.371,2093234,-29.55,28.25,30360,53.705,26.7,4.5,65.7,545.675,419.363,177.6,26.6,3.2567,104.552795,17.400345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.820988,15.333333,28.234568,1.439333,14.092593,66.942239
LS,2020-01-02,ChIJ64xf1idIjB4Rsx7ReLhXLSM,Q1013,country/LSO,LS,Lesotho,LS,LSO,0,1,19,,1,19,,,,,,,,2142252,1056950,1085302,1517760,607508,70.562,0.52,478748,428821,395192,327281,210251,140771,96813,48309,16066,2460072443,1157,0.371,2093234,-29.55,28.25,30360,53.705,26.7,4.5,65.7,545.675,419.363,177.6,26.6,3.2567,104.552795,17.400345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.0,15.839506,29.222222,0.649111,14.080247,61.900392
LS,2020-01-03,ChIJ64xf1idIjB4Rsx7ReLhXLSM,Q1013,country/LSO,LS,Lesotho,LS,LSO,0,0,0,,1,19,,,,,,,,2142252,1056950,1085302,1517760,607508,70.562,0.52,478748,428821,395192,327281,210251,140771,96813,48309,16066,2460072443,1157,0.371,2093234,-29.55,28.25,30360,53.705,26.7,4.5,65.7,545.675,419.363,177.6,26.6,3.2567,104.552795,17.400345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.024691,14.703704,30.882716,0.592667,12.95679,57.37144
LS,2020-01-04,ChIJ64xf1idIjB4Rsx7ReLhXLSM,Q1013,country/LSO,LS,Lesotho,LS,LSO,0,0,0,,1,19,,,,,,,,2142252,1056950,1085302,1517760,607508,70.562,0.52,478748,428821,395192,327281,210251,140771,96813,48309,16066,2460072443,1157,0.371,2093234,-29.55,28.25,30360,53.705,26.7,4.5,65.7,545.675,419.363,177.6,26.6,3.2567,104.552795,17.400345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.567901,15.166667,30.740741,2.906889,12.061728,55.280333
LS,2020-01-05,ChIJ64xf1idIjB4Rsx7ReLhXLSM,Q1013,country/LSO,LS,Lesotho,LS,LSO,0,0,0,,1,19,,,,,,,,2142252,1056950,1085302,1517760,607508,70.562,0.52,478748,428821,395192,327281,210251,140771,96813,48309,16066,2460072443,1157,0.371,2093234,-29.55,28.25,30360,53.705,26.7,4.5,65.7,545.675,419.363,177.6,26.6,3.2567,104.552795,17.400345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.055556,13.808642,30.901235,1.862667,12.753086,56.085654
LS,2020-01-06,ChIJ64xf1idIjB4Rsx7ReLhXLSM,Q1013,country/LSO,LS,Lesotho,LS,LSO,0,0,0,,1,19,,,,,,,,2142252,1056950,1085302,1517760,607508,70.562,0.52,478748,428821,395192,327281,210251,140771,96813,48309,16066,2460072443,1157,0.371,2093234,-29.55,28.25,30360,53.705,26.7,4.5,65.7,545.675,419.363,177.6,26.6,3.2567,104.552795,17.400345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.145833,15.847222,30.909722,5.7785,13.194444,58.443134
LS,2020-01-07,ChIJ64xf1idIjB4Rsx7ReLhXLSM,Q1013,country/LSO,LS,Lesotho,LS,LSO,0,0,0,,1,19,,,,,,,,2142252,1056950,1085302,1517760,607508,70.562,0.52,478748,428821,395192,327281,210251,140771,96813,48309,16066,2460072443,1157,0.371,2093234,-29.55,28.25,30360,53.705,26.7,4.5,65.7,545.675,419.363,177.6,26.6,3.2567,104.552795,17.400345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18.808642,14.962963,28.333333,5.36575,13.290123,70.462328
LS,2020-01-08,ChIJ64xf1idIjB4Rsx7ReLhXLSM,Q1013,country/LSO,LS,Lesotho,LS,LSO,0,0,0,,1,19,,,,,,,,2142252,1056950,1085302,1517760,607508,70.562,0.52,478748,428821,395192,327281,210251,140771,96813,48309,16066,2460072443,1157,0.371,2093234,-29.55,28.25,30360,53.705,26.7,4.5,65.7,545.675,419.363,177.6,26.6,3.2567,104.552795,17.400345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17.790123,15.728395,22.944444,5.68325,14.87037,83.38455
LS,2020-01-09,ChIJ64xf1idIjB4Rsx7ReLhXLSM,Q1013,country/LSO,LS,Lesotho,LS,LSO,0,0,0,,1,19,,,,,,,,2142252,1056950,1085302,1517760,607508,70.562,0.52,478748,428821,395192,327281,210251,140771,96813,48309,16066,2460072443,1157,0.371,2093234,-29.55,28.25,30360,53.705,26.7,4.5,65.7,545.675,419.363,177.6,26.6,3.2567,104.552795,17.400345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.079365,15.507937,26.055556,7.293429,15.126984,73.525924
LS,2020-01-10,ChIJ64xf1idIjB4Rsx7ReLhXLSM,Q1013,country/LSO,LS,Lesotho,LS,LSO,0,0,0,,1,19,,,,,,,,2142252,1056950,1085302,1517760,607508,70.562,0.52,478748,428821,395192,327281,210251,140771,96813,48309,16066,2460072443,1157,0.371,2093234,-29.55,28.25,30360,53.705,26.7,4.5,65.7,545.675,419.363,177.6,26.6,3.2567,104.552795,17.400345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.407407,15.666667,25.037037,2.667,14.259259,72.198078
