location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
MA,2020-01-01,ChIJjcVRlmGICw0Rw_8sxIGT09k,Q1028,country/MAR,MA,Morocco,MA,MAR,0,0,0,,0,0,,,,,,,,36910558,18316887,18593671,13496743,22975026,3716093,7941338,82.703,0.667,6752615,6097196,5883278,5606356,4452432,3743784,2735019,1197078,442800,118725279596,3204,0.5,3630439,32.0,-6.0,446550,659759,12057,76.453,23.4,7.0,19.2,72.327,62.159,49.1,12.4,1.3887,0.7308,161.010864,86.843163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.805556,3.296296,18.194444,0.084667,,-2.287037,42.701045
MA,2020-01-02,ChIJjcVRlmGICw0Rw_8sxIGT09k,Q1028,country/MAR,MA,Morocco,MA,MAR,0,0,0,,0,0,,,,,,,,36910558,18316887,18593671,13496743,22975026,3716093,7941338,82.703,0.667,6752615,6097196,5883278,5606356,4452432,3743784,2735019,1197078,442800,118725279596,3204,0.5,3630439,32.0,-6.0,446550,659759,12057,76.453,23.4,7.0,19.2,72.327,62.159,49.1,12.4,1.3887,0.7308,161.010864,86.843163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.675926,3.0,18.416667,0.0,,-1.527778,46.006703
MA,2020-01-03,ChIJjcVRlmGICw0Rw_8sxIGT09k,Q1028,country/MAR,MA,Morocco,MA,MAR,0,0,0,,0,0,,,,,,,,36910558,18316887,18593671,13496743,22975026,3716093,7941338,82.703,0.667,6752615,6097196,5883278,5606356,4452432,3743784,2735019,1197078,442800,118725279596,3204,0.5,3630439,32.0,-6.0,446550,659759,12057,76.453,23.4,7.0,19.2,72.327,62.159,49.1,12.4,1.3887,0.7308,161.010864,86.843163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.611111,2.814815,18.055556,0.0,,-0.268519,50.951349
MA,2020-01-04,ChIJjcVRlmGICw0Rw_8sxIGT09k,Q1028,country/MAR,MA,Morocco,MA,MAR,0,0,0,,0,0,,,,,,,,36910558,18316887,18593671,13496743,22975026,3716093,7941338,82.703,0.667,6752615,6097196,5883278,5606356,4452432,3743784,2735019,1197078,442800,118725279596,3204,0.5,3630439,32.0,-6.0,446550,659759,12057,76.453,23.4,7.0,19.2,72.327,62.159,49.1,12.4,1.3887,0.7308,161.010864,86.843163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.37037,2.861111,17.564815,0.0,,-0.138889,51.72019
MA,2020-01-05,ChIJjcVRlmGICw0Rw_8sxIGT09k,Q1028,country/MAR,MA,Morocco,MA,MAR,0,0,0,,0,0,,,,,,,,36910558,18316887,18593671,13496743,22975026,3716093,7941338,82.703,0.667,6752615,6097196,5883278,5606356,4452432,3743784,2735019,1197078,442800,118725279596,3204,0.5,3630439,32.0,-6.0,446550,659759,12057,76.453,23.4,7.0,19.2,72.327,62.159,49.1,12.4,1.3887,0.7308,161.010864,86.843163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.509259,2.25,16.555556,0.0,,-0.694444,52.91117
MA,2020-01-06,ChIJjcVRlmGICw0Rw_8sxIGT09k,Q1028,country/MAR,MA,Morocco,MA,MAR,0,0,0,,0,0,,,,,,,,36910558,18316887,18593671,13496743,22975026,3716093,7941338,82.703,0.667,6752615,6097196,5883278,5606356,4452432,3743784,2735019,1197078,442800,118725279596,3204,0.5,3630439,32.0,-6.0,446550,659759,12057,76.453,23.4,7.0,19.2,72.327,62.159,49.1,12.4,1.3887,0.7308,161.010864,86.843163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.398148,2.916667,15.814815,0.0,,-1.703704,50.709766
MA,2020-01-07,ChIJjcVRlmGICw0Rw_8sxIGT09k,Q1028,country/MAR,MA,Morocco,MA,MAR,0,0,0,,0,0,,,,,,,,36910558,18316887,18593671,13496743,22975026,3716093,7941338,82.703,0.667,6752615,6097196,5883278,5606356,4452432,3743784,2735019,1197078,442800,118725279596,3204,0.5,3630439,32.0,-6.0,446550,659759,12057,76.453,23.4,7.0,19.2,72.327,62.159,49.1,12.4,1.3887,0.7308,161.010864,86.843163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.814815,1.259259,15.62037,0.042333,,-2.740741,48.497768
MA,2020-01-08,ChIJjcVRlmGICw0Rw_8sxIGT09k,Q1028,country/MAR,MA,Morocco,MA,MAR,0,0,0,,0,0,,,,,,,,36910558,18316887,18593671,13496743,22975026,3716093,7941338,82.703,0.667,6752615,6097196,5883278,5606356,4452432,3743784,2735019,1197078,442800,118725279596,3204,0.5,3630439,32.0,-6.0,446550,659759,12057,76.453,23.4,7.0,19.2,72.327,62.159,49.1,12.4,1.3887,0.7308,161.010864,86.843163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.111111,0.75,17.388889,0.0,,-4.083333,42.406861
MA,2020-01-09,ChIJjcVRlmGICw0Rw_8sxIGT09k,Q1028,country/MAR,MA,Morocco,MA,MAR,0,0,0,,0,0,,,,,,,,36910558,18316887,18593671,13496743,22975026,3716093,7941338,82.703,0.667,6752615,6097196,5883278,5606356,4452432,3743784,2735019,1197078,442800,118725279596,3204,0.5,3630439,32.0,-6.0,446550,659759,12057,76.453,23.4,7.0,19.2,72.327,62.159,49.1,12.4,1.3887,0.7308,161.010864,86.843163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.898148,1.564815,17.37037,0.084667,,-3.388889,43.774179
MA,2020-01-10,ChIJjcVRlmGICw0Rw_8sxIGT09k,Q1028,country/MAR,MA,Morocco,MA,MAR,0,0,0,,0,0,,,,,,,,36910558,18316887,18593671,13496743,22975026,3716093,7941338,82.703,0.667,6752615,6097196,5883278,5606356,4452432,3743784,2735019,1197078,442800,118725279596,3204,0.5,3630439,32.0,-6.0,446550,659759,12057,76.453,23.4,7.0,19.2,72.327,62.159,49.1,12.4,1.3887,0.7308,161.010864,86.843163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.87037,3.62037,18.259259,0.0,,-1.25,48.364455
