location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
MU,2020-01-01,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,0,0,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.847222,22.888889,30.055556,6.858,23.611111,87.767006
MU,2020-01-02,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,3,1,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.277778,23.319444,29.486111,1.016,23.263889,83.76503
MU,2020-01-03,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.958333,23.138889,28.138889,1.693333,22.703704,91.251406
MU,2020-01-04,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.652778,16.5,28.125,9.398,22.814815,89.484169
MU,2020-01-05,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.930556,16.37037,27.472222,26.416,22.481481,92.296981
MU,2020-01-06,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.791667,19.125,30.097222,51.7525,23.083333,85.220318
MU,2020-01-07,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.902778,23.513889,30.277778,9.525,23.652778,82.487339
MU,2020-01-08,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.263889,23.694444,29.875,1.143,22.916667,81.937053
MU,2020-01-09,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.541667,22.388889,29.0,0.762,20.513889,73.80188
MU,2020-01-10,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.027778,20.555556,29.0,0.0,19.75,72.620025
