location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,current_ventilator_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,new_deceased_male,new_deceased_female,cumulative_deceased_male,cumulative_deceased_female,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds_per_1000,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
MY,2020-01-01,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.005556,23.016667,31.461111,0.451556,21.694444,73.211256
MY,2020-01-02,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.5,23.505556,30.361111,5.08,22.877778,80.702906
MY,2020-01-03,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.722222,23.761111,31.111111,1.806222,22.955556,79.991829
MY,2020-01-04,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.883333,23.338889,31.316667,0.282222,22.616667,77.657608
MY,2020-01-05,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.744444,23.022222,31.133333,1.2446,21.955556,75.258152
MY,2020-01-06,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.277778,22.922222,30.733333,0.127,21.694444,76.268021
MY,2020-01-07,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.027778,23.188889,31.45,0.366889,22.35,76.031401
MY,2020-01-08,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.027778,23.416667,31.538889,2.483556,22.966667,78.67929
MY,2020-01-09,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.833333,23.516667,31.605556,3.46075,22.605556,77.941191
MY,2020-01-10,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.022222,23.0,30.833333,2.975429,22.661111,81.869278
MY,2020-01-11,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.416667,22.416667,30.661111,1.36525,22.95,81.470694
MY,2020-01-12,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.188889,22.577778,31.0,7.2898,23.1,83.278932
MY,2020-01-13,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.388889,23.736111,32.0625,1.669143,23.534722,79.65104
MY,2020-01-14,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.766667,23.033333,31.622222,2.2098,22.438889,77.469383
MY,2020-01-15,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.677778,22.85,31.65,0.7874,22.388889,77.58527
MY,2020-01-16,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,11.11,26.838889,23.038889,31.65,0.2032,22.944444,79.5082
MY,2020-01-17,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,11.11,26.783333,22.927778,31.733333,0.0,22.938889,79.778837
MY,2020-01-18,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,11.11,26.861111,23.338889,31.572222,7.20725,23.455556,81.821145
MY,2020-01-19,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,11.11,26.811111,23.744444,31.583333,14.89075,23.483333,82.172046
MY,2020-01-20,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,11.11,27.5,24.088889,31.805556,2.50825,23.655556,79.867374
MY,2020-01-21,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,11.11,26.8,23.827778,30.677778,0.4318,23.077778,80.284839
MY,2020-01-22,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,11.11,27.383333,23.572222,32.033333,0.254,22.894444,76.771275
MY,2020-01-23,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,0,0,,2,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,11.11,27.016667,23.238889,31.638889,0.5588,22.833333,78.153114
MY,2020-01-24,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,4,0,,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,11.11,27.044444,22.75,32.322222,0.0254,22.022222,74.450742
MY,2020-01-25,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,MY,MYS,0,4,0,0,5,4,0,0,7,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,3,1,3,1,,,,,32655400,16771000,15884400,7474011,24475766,7780301,7780301,98.512,0.802,5035800,5249500,6283800,5474500,3841900,3121600,2180400,1070700,397000,364701517787,11414,0.622,2108121,3.780511,102.314362,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,11.11,27.172222,22.877778,32.133333,0.0,22.611111,76.509729
