location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
MZ,2020-01-01,ChIJxUr95uqs1BgRFaEWrrm_uxI,Q1029,country/MOZ,MZ,Mozambique,MZ,MOZ,0,0,0,,0,0,,,,,,,,31255435,15188235,16067200,19273930,11092106,1668740,2773054,39.746,0.437,9717782,7595458,5294495,3588739,2289288,1400167,843662,420845,104999,14934159925,491,0.361,195273,-19.0,35.0,786380,769595,2739,60.163,16.6,3.3,54.0,389.521,268.188,110.0,18.4,0.6847,0.0838,21.071156,1.558282,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.37037,24.592593,30.12963,26.331333,23.759259,80.901825
MZ,2020-01-02,ChIJxUr95uqs1BgRFaEWrrm_uxI,Q1029,country/MOZ,MZ,Mozambique,MZ,MOZ,0,1,1,,1,1,,,,,,,,31255435,15188235,16067200,19273930,11092106,1668740,2773054,39.746,0.437,9717782,7595458,5294495,3588739,2289288,1400167,843662,420845,104999,14934159925,491,0.361,195273,-19.0,35.0,786380,769595,2739,60.163,16.6,3.3,54.0,389.521,268.188,110.0,18.4,0.6847,0.0838,21.071156,1.558282,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.685185,24.62963,30.740741,0.338667,23.537037,78.434234
MZ,2020-01-03,ChIJxUr95uqs1BgRFaEWrrm_uxI,Q1029,country/MOZ,MZ,Mozambique,MZ,MOZ,0,0,0,,1,1,,,,,,,,31255435,15188235,16067200,19273930,11092106,1668740,2773054,39.746,0.437,9717782,7595458,5294495,3588739,2289288,1400167,843662,420845,104999,14934159925,491,0.361,195273,-19.0,35.0,786380,769595,2739,60.163,16.6,3.3,54.0,389.521,268.188,110.0,18.4,0.6847,0.0838,21.071156,1.558282,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.555556,23.666667,30.87037,0.0,23.314815,78.02197
MZ,2020-01-04,ChIJxUr95uqs1BgRFaEWrrm_uxI,Q1029,country/MOZ,MZ,Mozambique,MZ,MOZ,0,0,0,,1,1,,,,,,,,31255435,15188235,16067200,19273930,11092106,1668740,2773054,39.746,0.437,9717782,7595458,5294495,3588739,2289288,1400167,843662,420845,104999,14934159925,491,0.361,195273,-19.0,35.0,786380,769595,2739,60.163,16.6,3.3,54.0,389.521,268.188,110.0,18.4,0.6847,0.0838,21.071156,1.558282,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.814815,23.5,31.462963,0.169333,23.425926,77.360605
MZ,2020-01-05,ChIJxUr95uqs1BgRFaEWrrm_uxI,Q1029,country/MOZ,MZ,Mozambique,MZ,MOZ,0,0,0,,1,1,,,,,,,,31255435,15188235,16067200,19273930,11092106,1668740,2773054,39.746,0.437,9717782,7595458,5294495,3588739,2289288,1400167,843662,420845,104999,14934159925,491,0.361,195273,-19.0,35.0,786380,769595,2739,60.163,16.6,3.3,54.0,389.521,268.188,110.0,18.4,0.6847,0.0838,21.071156,1.558282,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.62963,23.203704,32.12963,35.644667,22.87037,75.448425
MZ,2020-01-06,ChIJxUr95uqs1BgRFaEWrrm_uxI,Q1029,country/MOZ,MZ,Mozambique,MZ,MOZ,0,0,0,,1,1,,,,,,,,31255435,15188235,16067200,19273930,11092106,1668740,2773054,39.746,0.437,9717782,7595458,5294495,3588739,2289288,1400167,843662,420845,104999,14934159925,491,0.361,195273,-19.0,35.0,786380,769595,2739,60.163,16.6,3.3,54.0,389.521,268.188,110.0,18.4,0.6847,0.0838,21.071156,1.558282,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.597222,23.347222,32.944444,0.0,22.611111,71.139981
MZ,2020-01-07,ChIJxUr95uqs1BgRFaEWrrm_uxI,Q1029,country/MOZ,MZ,Mozambique,MZ,MOZ,0,0,0,,1,1,,,,,,,,31255435,15188235,16067200,19273930,11092106,1668740,2773054,39.746,0.437,9717782,7595458,5294495,3588739,2289288,1400167,843662,420845,104999,14934159925,491,0.361,195273,-19.0,35.0,786380,769595,2739,60.163,16.6,3.3,54.0,389.521,268.188,110.0,18.4,0.6847,0.0838,21.071156,1.558282,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.430556,22.777778,32.555556,1.016,22.361111,70.235131
MZ,2020-01-08,ChIJxUr95uqs1BgRFaEWrrm_uxI,Q1029,country/MOZ,MZ,Mozambique,MZ,MOZ,0,0,0,,1,1,,,,,,,,31255435,15188235,16067200,19273930,11092106,1668740,2773054,39.746,0.437,9717782,7595458,5294495,3588739,2289288,1400167,843662,420845,104999,14934159925,491,0.361,195273,-19.0,35.0,786380,769595,2739,60.163,16.6,3.3,54.0,389.521,268.188,110.0,18.4,0.6847,0.0838,21.071156,1.558282,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,29.25,23.708333,32.847222,0.0,23.25,70.543289
MZ,2020-01-09,ChIJxUr95uqs1BgRFaEWrrm_uxI,Q1029,country/MOZ,MZ,Mozambique,MZ,MOZ,0,0,0,,1,1,,,,,,,,31255435,15188235,16067200,19273930,11092106,1668740,2773054,39.746,0.437,9717782,7595458,5294495,3588739,2289288,1400167,843662,420845,104999,14934159925,491,0.361,195273,-19.0,35.0,786380,769595,2739,60.163,16.6,3.3,54.0,389.521,268.188,110.0,18.4,0.6847,0.0838,21.071156,1.558282,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.666667,24.5,33.277778,0.508,24.462963,78.075954
MZ,2020-01-10,ChIJxUr95uqs1BgRFaEWrrm_uxI,Q1029,country/MOZ,MZ,Mozambique,MZ,MOZ,0,0,0,,1,1,,,,,,,,31255435,15188235,16067200,19273930,11092106,1668740,2773054,39.746,0.437,9717782,7595458,5294495,3588739,2289288,1400167,843662,420845,104999,14934159925,491,0.361,195273,-19.0,35.0,786380,769595,2739,60.163,16.6,3.3,54.0,389.521,268.188,110.0,18.4,0.6847,0.0838,21.071156,1.558282,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,29.12963,25.074074,33.462963,0.0,24.222222,74.949277
