location_key,date,wikidata_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index
PS,2020-01-01,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-02,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-03,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-04,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-05,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-06,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-07,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-08,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-09,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-10,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-11,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-12,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-13,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-14,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-15,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-16,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-17,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-18,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-19,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-20,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-21,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-22,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PS,2020-01-23,Q1176995,PS,Palestine,PS,PSE,0,0,0,,0,0,,,,,,,5101416,2586971,2514445,1103858,3581448,693323,847.411,1364528,1109493,965725,664296,448140,297318,151853,77835,22228,14615900000,3198,0.554,6020,3505,2496,73.895,9.5,17.3,126.513,92.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
