location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index
SC,2020-01-01,ChIJO62-cP0hXCIR99pJ06DQ0zI,Q1042,country/SYC,SC,Seychelles,SC,SYC,0,0,0,0,0,,,,,,,98340,50439,47901,41863,55762,213.783,0.797,15933,13866,13431,14486,14873,12977,7909,3205,1660,1698843062,17401,0.678,536765,-7.1,52.766667,460,187,122,72.841463,21.5,12.3,12.4,201.609,97.723,49.3,21.2,8.0773,2.1212,791.656677,194.742996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SC,2020-01-02,ChIJO62-cP0hXCIR99pJ06DQ0zI,Q1042,country/SYC,SC,Seychelles,SC,SYC,0,2,1,2,1,,,,,,,98340,50439,47901,41863,55762,213.783,0.797,15933,13866,13431,14486,14873,12977,7909,3205,1660,1698843062,17401,0.678,536765,-7.1,52.766667,460,187,122,72.841463,21.5,12.3,12.4,201.609,97.723,49.3,21.2,8.0773,2.1212,791.656677,194.742996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SC,2020-01-03,ChIJO62-cP0hXCIR99pJ06DQ0zI,Q1042,country/SYC,SC,Seychelles,SC,SYC,0,0,0,2,1,,,,,,,98340,50439,47901,41863,55762,213.783,0.797,15933,13866,13431,14486,14873,12977,7909,3205,1660,1698843062,17401,0.678,536765,-7.1,52.766667,460,187,122,72.841463,21.5,12.3,12.4,201.609,97.723,49.3,21.2,8.0773,2.1212,791.656677,194.742996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SC,2020-01-04,ChIJO62-cP0hXCIR99pJ06DQ0zI,Q1042,country/SYC,SC,Seychelles,SC,SYC,0,0,0,2,1,,,,,,,98340,50439,47901,41863,55762,213.783,0.797,15933,13866,13431,14486,14873,12977,7909,3205,1660,1698843062,17401,0.678,536765,-7.1,52.766667,460,187,122,72.841463,21.5,12.3,12.4,201.609,97.723,49.3,21.2,8.0773,2.1212,791.656677,194.742996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SC,2020-01-05,ChIJO62-cP0hXCIR99pJ06DQ0zI,Q1042,country/SYC,SC,Seychelles,SC,SYC,0,0,0,2,1,,,,,,,98340,50439,47901,41863,55762,213.783,0.797,15933,13866,13431,14486,14873,12977,7909,3205,1660,1698843062,17401,0.678,536765,-7.1,52.766667,460,187,122,72.841463,21.5,12.3,12.4,201.609,97.723,49.3,21.2,8.0773,2.1212,791.656677,194.742996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SC,2020-01-06,ChIJO62-cP0hXCIR99pJ06DQ0zI,Q1042,country/SYC,SC,Seychelles,SC,SYC,0,0,0,2,1,,,,,,,98340,50439,47901,41863,55762,213.783,0.797,15933,13866,13431,14486,14873,12977,7909,3205,1660,1698843062,17401,0.678,536765,-7.1,52.766667,460,187,122,72.841463,21.5,12.3,12.4,201.609,97.723,49.3,21.2,8.0773,2.1212,791.656677,194.742996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SC,2020-01-07,ChIJO62-cP0hXCIR99pJ06DQ0zI,Q1042,country/SYC,SC,Seychelles,SC,SYC,0,0,0,2,1,,,,,,,98340,50439,47901,41863,55762,213.783,0.797,15933,13866,13431,14486,14873,12977,7909,3205,1660,1698843062,17401,0.678,536765,-7.1,52.766667,460,187,122,72.841463,21.5,12.3,12.4,201.609,97.723,49.3,21.2,8.0773,2.1212,791.656677,194.742996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SC,2020-01-08,ChIJO62-cP0hXCIR99pJ06DQ0zI,Q1042,country/SYC,SC,Seychelles,SC,SYC,0,0,0,2,1,,,,,,,98340,50439,47901,41863,55762,213.783,0.797,15933,13866,13431,14486,14873,12977,7909,3205,1660,1698843062,17401,0.678,536765,-7.1,52.766667,460,187,122,72.841463,21.5,12.3,12.4,201.609,97.723,49.3,21.2,8.0773,2.1212,791.656677,194.742996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SC,2020-01-09,ChIJO62-cP0hXCIR99pJ06DQ0zI,Q1042,country/SYC,SC,Seychelles,SC,SYC,0,0,0,2,1,,,,,,,98340,50439,47901,41863,55762,213.783,0.797,15933,13866,13431,14486,14873,12977,7909,3205,1660,1698843062,17401,0.678,536765,-7.1,52.766667,460,187,122,72.841463,21.5,12.3,12.4,201.609,97.723,49.3,21.2,8.0773,2.1212,791.656677,194.742996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SC,2020-01-10,ChIJO62-cP0hXCIR99pJ06DQ0zI,Q1042,country/SYC,SC,Seychelles,SC,SYC,0,0,0,2,1,,,,,,,98340,50439,47901,41863,55762,213.783,0.797,15933,13866,13431,14486,14873,12977,7909,3205,1660,1698843062,17401,0.678,536765,-7.1,52.766667,460,187,122,72.841463,21.5,12.3,12.4,201.609,97.723,49.3,21.2,8.0773,2.1212,791.656677,194.742996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
