location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
SD,2020-01-01,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.027778,15.5,31.0,0.0,0.277778,23.61985
SD,2020-01-02,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.555556,20.0,32.0,0.0,1.944444,20.318594
SD,2020-01-03,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.0,17.0,28.0,0.0,-3.5,17.897457
SD,2020-01-04,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18.277778,14.5,23.5,0.0,-2.222222,24.999921
SD,2020-01-05,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18.472222,13.5,23.0,0.0,-6.25,18.321397
SD,2020-01-06,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.388889,12.0,26.0,0.0,-5.722222,17.77898
SD,2020-01-07,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.444444,14.0,28.0,0.0,-7.833333,13.318424
SD,2020-01-08,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.388889,16.0,28.0,0.0,-7.555556,13.65402
SD,2020-01-09,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.638889,15.0,24.0,0.0,-3.166667,21.227645
SD,2020-01-10,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17.611111,11.5,22.5,0.0,-4.361111,22.070592
SD,2020-01-11,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,16.055556,12.0,23.0,0.0,-5.166667,22.877873
SD,2020-01-12,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.611111,12.0,27.0,0.0,-2.666667,22.057497
SD,2020-01-13,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.222222,16.0,30.0,0.0,-1.444444,20.558366
SD,2020-01-14,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.944444,15.5,33.0,0.0,-1.222222,17.742868
SD,2020-01-15,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.055556,21.0,34.5,0.0,3.305556,20.883461
SD,2020-01-16,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.722222,20.0,35.0,0.0,4.5,24.038774
SD,2020-01-17,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.333333,19.0,31.0,0.0,0.333333,20.599761
SD,2020-01-18,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.611111,16.0,28.0,0.0,0.555556,24.683351
SD,2020-01-19,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.388889,15.5,25.5,0.0,2.027778,29.69491
SD,2020-01-20,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.444444,15.0,27.0,0.0,-4.166667,17.802486
SD,2020-01-21,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.222222,13.0,27.0,0.0,-4.444444,19.787591
SD,2020-01-22,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.166667,12.0,26.0,0.0,-4.166667,20.275088
SD,2020-01-23,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17.972222,10.5,23.5,0.0,-6.722222,18.026223
SD,2020-01-24,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,16.638889,10.0,23.0,0.0,-4.444444,23.278223
SD,2020-01-25,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18.472222,11.0,26.0,0.0,-5.25,19.584563
SD,2020-01-26,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.0,14.0,27.0,0.0,-1.666667,23.181867
SD,2020-01-27,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.5,16.0,27.5,0.0,-0.805556,22.521602
SD,2020-01-28,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,22.888889,15.5,29.5,0.0,-1.916667,19.175063
SD,2020-01-29,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,21.611111,14.0,28.5,0.0,-0.694444,22.6801
SD,2020-01-30,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,21.694444,14.5,29.0,0.0,-0.666667,22.517563
SD,2020-01-31,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,23.722222,16.0,30.0,0.0,-2.444444,17.440091
SD,2020-02-01,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,20.555556,15.0,28.5,0.0,-3.472222,19.989918
SD,2020-02-02,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,22.222222,17.0,29.5,0.0,-2.944444,17.088962
SD,2020-02-03,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,22.361111,14.5,29.5,0.0,-4.055556,16.895005
SD,2020-02-04,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,21.333333,15.0,28.5,0.0,-6.722222,14.741951
SD,2020-02-05,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,21.638889,15.0,29.5,0.0,-7.722222,13.325735
SD,2020-02-06,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,23.805556,16.0,31.0,0.0,-5.888889,13.568751
SD,2020-02-07,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,26.888889,22.0,33.0,0.0,-5.416667,11.565725
SD,2020-02-08,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,23.638889,18.5,29.5,0.0,-4.25,15.36471
SD,2020-02-09,ChIJlbFyEMQc2RURNythKkZwv9I,Q1049,country/SDN,SD,Sudan,SD,SDN,0,0,0,0,0,,,,,,,,43849269,21907295,21941974,27856005,14957233,5677921,5677921,24.843,0.502,12128806,10123657,7627158,5203245,3727319,2552951,1535960,733051,217122,18902284475,441,0.379,192789,15.0,32.0,1886068,2489483,6517,65.095,22.1,42.1,244.878,187.141,184.9,26.0,0.6952,0.2618,193.793045,140.460556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,22.083333,16.0,28.5,0.0,-5.083333,15.811135
