location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,diabetes_prevalence,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
SX,2020-01-01,ChIJw5D41mJuDowRQo8zJsIsi3I,Q26273,country/SXM,SX,Sint Maarten,SX,SXM,0,0,0,0,0,,,,,,,42882,15212,15660,0,40733,1261.235,3956,3769,4453,3269,3883,5744,3972,1495,330,1231790,18.031944,-63.067778,34,78.292683,6.8,26.018519,23.771605,28.697531,3.701143,22.805556,81.707134
SX,2020-01-02,ChIJw5D41mJuDowRQo8zJsIsi3I,Q26273,country/SXM,SX,Sint Maarten,SX,SXM,0,0,0,0,0,,,,,,,42882,15212,15660,0,40733,1261.235,3956,3769,4453,3269,3883,5744,3972,1495,330,1231790,18.031944,-63.067778,34,78.292683,6.8,26.005556,23.355556,28.55,3.81,22.598765,81.320967
SX,2020-01-03,ChIJw5D41mJuDowRQo8zJsIsi3I,Q26273,country/SXM,SX,Sint Maarten,SX,SXM,0,0,0,0,0,,,,,,,42882,15212,15660,0,40733,1261.235,3956,3769,4453,3269,3883,5744,3972,1495,330,1231790,18.031944,-63.067778,34,78.292683,6.8,25.9,23.3,28.088889,1.4605,21.716049,76.974791
SX,2020-01-04,ChIJw5D41mJuDowRQo8zJsIsi3I,Q26273,country/SXM,SX,Sint Maarten,SX,SXM,0,0,0,0,0,,,,,,,42882,15212,15660,0,40733,1261.235,3956,3769,4453,3269,3883,5744,3972,1495,330,1231790,18.031944,-63.067778,34,78.292683,6.8,26.038889,23.6,28.161111,1.560286,21.191358,73.974277
SX,2020-01-05,ChIJw5D41mJuDowRQo8zJsIsi3I,Q26273,country/SXM,SX,Sint Maarten,SX,SXM,0,0,0,0,0,,,,,,,42882,15212,15660,0,40733,1261.235,3956,3769,4453,3269,3883,5744,3972,1495,330,1231790,18.031944,-63.067778,34,78.292683,6.8,26.166667,24.372222,28.161111,1.2065,20.555556,70.922304
SX,2020-01-06,ChIJw5D41mJuDowRQo8zJsIsi3I,Q26273,country/SXM,SX,Sint Maarten,SX,SXM,0,0,0,0,0,,,,,,,42882,15212,15660,0,40733,1261.235,3956,3769,4453,3269,3883,5744,3972,1495,330,1231790,18.031944,-63.067778,34,78.292683,6.8,25.988889,23.761111,28.3,0.03175,20.277778,70.539542
SX,2020-01-07,ChIJw5D41mJuDowRQo8zJsIsi3I,Q26273,country/SXM,SX,Sint Maarten,SX,SXM,0,0,0,0,0,,,,,,,42882,15212,15660,0,40733,1261.235,3956,3769,4453,3269,3883,5744,3972,1495,330,1231790,18.031944,-63.067778,34,78.292683,6.8,26.04321,23.753086,28.345679,0.790222,21.069444,73.363987
SX,2020-01-08,ChIJw5D41mJuDowRQo8zJsIsi3I,Q26273,country/SXM,SX,Sint Maarten,SX,SXM,0,0,0,0,0,,,,,,,42882,15212,15660,0,40733,1261.235,3956,3769,4453,3269,3883,5744,3972,1495,330,1231790,18.031944,-63.067778,34,78.292683,6.8,26.65,23.888889,28.616667,1.23825,21.574074,73.216985
SX,2020-01-09,ChIJw5D41mJuDowRQo8zJsIsi3I,Q26273,country/SXM,SX,Sint Maarten,SX,SXM,0,0,0,0,0,,,,,,,42882,15212,15660,0,40733,1261.235,3956,3769,4453,3269,3883,5744,3972,1495,330,1231790,18.031944,-63.067778,34,78.292683,6.8,26.788889,23.544444,29.594444,4.120444,21.611111,72.902086
SX,2020-01-10,ChIJw5D41mJuDowRQo8zJsIsi3I,Q26273,country/SXM,SX,Sint Maarten,SX,SXM,0,0,0,0,0,,,,,,,42882,15212,15660,0,40733,1261.235,3956,3769,4453,3269,3883,5744,3972,1495,330,1231790,18.031944,-63.067778,34,78.292683,6.8,26.8,24.372222,28.7,0.254,20.388889,67.769007
