location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
SZ,2020-01-01,ChIJBw8yR-HO6B4RaXANGC_GPcE,Q1050,country/SWZ,SZ,Swaziland,SZ,SWZ,0,0,0,,0,0,,,,,,,,1160164,570236,589928,872797,275333,67.451,0.588,286620,277018,212887,161329,104399,51717,36522,22585,7087,4405405802,3837,0.409,88210,-26.483333,31.433333,17360,16551,802,59.401,9.0,4.5,43.0,479.936,309.883,137.0,26.7,4.1415,0.3285,224.736771,23.59005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.472222,19.185185,29.694444,0.084667,18.462963,74.245705
SZ,2020-01-02,ChIJBw8yR-HO6B4RaXANGC_GPcE,Q1050,country/SWZ,SZ,Swaziland,SZ,SWZ,0,1,1,,1,1,,,,,,,,1160164,570236,589928,872797,275333,67.451,0.588,286620,277018,212887,161329,104399,51717,36522,22585,7087,4405405802,3837,0.409,88210,-26.483333,31.433333,17360,16551,802,59.401,9.0,4.5,43.0,479.936,309.883,137.0,26.7,4.1415,0.3285,224.736771,23.59005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.777778,20.138889,31.648148,1.185333,19.657407,73.937401
SZ,2020-01-03,ChIJBw8yR-HO6B4RaXANGC_GPcE,Q1050,country/SWZ,SZ,Swaziland,SZ,SWZ,0,0,0,,1,1,,,,,,,,1160164,570236,589928,872797,275333,67.451,0.588,286620,277018,212887,161329,104399,51717,36522,22585,7087,4405405802,3837,0.409,88210,-26.483333,31.433333,17360,16551,802,59.401,9.0,4.5,43.0,479.936,309.883,137.0,26.7,4.1415,0.3285,224.736771,23.59005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.453704,20.203704,34.166667,0.846667,19.527778,70.143075
SZ,2020-01-04,ChIJBw8yR-HO6B4RaXANGC_GPcE,Q1050,country/SWZ,SZ,Swaziland,SZ,SWZ,0,0,0,,1,1,,,,,,,,1160164,570236,589928,872797,275333,67.451,0.588,286620,277018,212887,161329,104399,51717,36522,22585,7087,4405405802,3837,0.409,88210,-26.483333,31.433333,17360,16551,802,59.401,9.0,4.5,43.0,479.936,309.883,137.0,26.7,4.1415,0.3285,224.736771,23.59005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.809524,19.626984,34.595238,3.882571,19.039683,62.881374
SZ,2020-01-05,ChIJBw8yR-HO6B4RaXANGC_GPcE,Q1050,country/SWZ,SZ,Swaziland,SZ,SWZ,0,0,0,,1,1,,,,,,,,1160164,570236,589928,872797,275333,67.451,0.588,286620,277018,212887,161329,104399,51717,36522,22585,7087,4405405802,3837,0.409,88210,-26.483333,31.433333,17360,16551,802,59.401,9.0,4.5,43.0,479.936,309.883,137.0,26.7,4.1415,0.3285,224.736771,23.59005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.277778,19.25,33.930556,0.0,19.208333,69.257948
SZ,2020-01-06,ChIJBw8yR-HO6B4RaXANGC_GPcE,Q1050,country/SWZ,SZ,Swaziland,SZ,SWZ,0,0,0,,1,1,,,,,,,,1160164,570236,589928,872797,275333,67.451,0.588,286620,277018,212887,161329,104399,51717,36522,22585,7087,4405405802,3837,0.409,88210,-26.483333,31.433333,17360,16551,802,59.401,9.0,4.5,43.0,479.936,309.883,137.0,26.7,4.1415,0.3285,224.736771,23.59005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.583333,21.5,32.555556,0.0,18.444444,65.686416
SZ,2020-01-07,ChIJBw8yR-HO6B4RaXANGC_GPcE,Q1050,country/SWZ,SZ,Swaziland,SZ,SWZ,0,0,0,,1,1,,,,,,,,1160164,570236,589928,872797,275333,67.451,0.588,286620,277018,212887,161329,104399,51717,36522,22585,7087,4405405802,3837,0.409,88210,-26.483333,31.433333,17360,16551,802,59.401,9.0,4.5,43.0,479.936,309.883,137.0,26.7,4.1415,0.3285,224.736771,23.59005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.166667,20.194444,33.277778,0.0,17.680556,60.211036
SZ,2020-01-08,ChIJBw8yR-HO6B4RaXANGC_GPcE,Q1050,country/SWZ,SZ,Swaziland,SZ,SWZ,0,0,0,,1,1,,,,,,,,1160164,570236,589928,872797,275333,67.451,0.588,286620,277018,212887,161329,104399,51717,36522,22585,7087,4405405802,3837,0.409,88210,-26.483333,31.433333,17360,16551,802,59.401,9.0,4.5,43.0,479.936,309.883,137.0,26.7,4.1415,0.3285,224.736771,23.59005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.805556,22.25,33.0,0.0,18.472222,57.662726
SZ,2020-01-09,ChIJBw8yR-HO6B4RaXANGC_GPcE,Q1050,country/SWZ,SZ,Swaziland,SZ,SWZ,0,0,0,,1,1,,,,,,,,1160164,570236,589928,872797,275333,67.451,0.588,286620,277018,212887,161329,104399,51717,36522,22585,7087,4405405802,3837,0.409,88210,-26.483333,31.433333,17360,16551,802,59.401,9.0,4.5,43.0,479.936,309.883,137.0,26.7,4.1415,0.3285,224.736771,23.59005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.013889,22.25,31.75,0.0,20.611111,72.36504
SZ,2020-01-10,ChIJBw8yR-HO6B4RaXANGC_GPcE,Q1050,country/SWZ,SZ,Swaziland,SZ,SWZ,0,0,0,,1,1,,,,,,,,1160164,570236,589928,872797,275333,67.451,0.588,286620,277018,212887,161329,104399,51717,36522,22585,7087,4405405802,3837,0.409,88210,-26.483333,31.433333,17360,16551,802,59.401,9.0,4.5,43.0,479.936,309.883,137.0,26.7,4.1415,0.3285,224.736771,23.59005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.555556,17.768519,21.462963,3.259667,17.740741,89.684639
