location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds_per_1000,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
TN,2020-01-01,ChIJ4aQWg0SVVRIR75sBqjozhDo,Q948,country/TUN,TN,Tunisia,TN,TUN,0,0,0,,0,0,,,,,,,,11818618,5860752,5957866,3595658,8099061,2327822,2327822,76.072,0.735,2017759,1639938,1725346,1914064,1572471,1361506,962594,424106,200834,38797709923,3317,0.508,192757,34.0,10.0,163610,144635,9897,76.505,32.7,8.5,14.6,106.668,67.321,56.1,16.1,2.3,2.5136,1.3025,250.562225,98.020348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.105556,4.411111,13.911111,2.794,2.933333,65.79392
TN,2020-01-02,ChIJ4aQWg0SVVRIR75sBqjozhDo,Q948,country/TUN,TN,Tunisia,TN,TUN,0,0,0,,0,0,,,,,,,,11818618,5860752,5957866,3595658,8099061,2327822,2327822,76.072,0.735,2017759,1639938,1725346,1914064,1572471,1361506,962594,424106,200834,38797709923,3317,0.508,192757,34.0,10.0,163610,144635,9897,76.505,32.7,8.5,14.6,106.668,67.321,56.1,16.1,2.3,2.5136,1.3025,250.562225,98.020348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.461111,4.377778,15.616667,0.0,3.488889,66.591282
TN,2020-01-03,ChIJ4aQWg0SVVRIR75sBqjozhDo,Q948,country/TUN,TN,Tunisia,TN,TUN,0,0,0,,0,0,,,,,,,,11818618,5860752,5957866,3595658,8099061,2327822,2327822,76.072,0.735,2017759,1639938,1725346,1914064,1572471,1361506,962594,424106,200834,38797709923,3317,0.508,192757,34.0,10.0,163610,144635,9897,76.505,32.7,8.5,14.6,106.668,67.321,56.1,16.1,2.3,2.5136,1.3025,250.562225,98.020348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.211111,3.088889,16.027778,0.0,1.45,58.801615
TN,2020-01-04,ChIJ4aQWg0SVVRIR75sBqjozhDo,Q948,country/TUN,TN,Tunisia,TN,TUN,0,0,0,,0,0,,,,,,,,11818618,5860752,5957866,3595658,8099061,2327822,2327822,76.072,0.735,2017759,1639938,1725346,1914064,1572471,1361506,962594,424106,200834,38797709923,3317,0.508,192757,34.0,10.0,163610,144635,9897,76.505,32.7,8.5,14.6,106.668,67.321,56.1,16.1,2.3,2.5136,1.3025,250.562225,98.020348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.905556,2.644444,15.133333,0.0,0.9,58.196786
TN,2020-01-05,ChIJ4aQWg0SVVRIR75sBqjozhDo,Q948,country/TUN,TN,Tunisia,TN,TUN,0,0,0,,0,0,,,,,,,,11818618,5860752,5957866,3595658,8099061,2327822,2327822,76.072,0.735,2017759,1639938,1725346,1914064,1572471,1361506,962594,424106,200834,38797709923,3317,0.508,192757,34.0,10.0,163610,144635,9897,76.505,32.7,8.5,14.6,106.668,67.321,56.1,16.1,2.3,2.5136,1.3025,250.562225,98.020348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.855556,5.294444,15.927778,0.0,3.2,60.211648
TN,2020-01-06,ChIJ4aQWg0SVVRIR75sBqjozhDo,Q948,country/TUN,TN,Tunisia,TN,TUN,0,0,0,,0,0,,,,,,,,11818618,5860752,5957866,3595658,8099061,2327822,2327822,76.072,0.735,2017759,1639938,1725346,1914064,1572471,1361506,962594,424106,200834,38797709923,3317,0.508,192757,34.0,10.0,163610,144635,9897,76.505,32.7,8.5,14.6,106.668,67.321,56.1,16.1,2.3,2.5136,1.3025,250.562225,98.020348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.327778,7.372222,15.877778,0.0,5.266667,66.534959
TN,2020-01-07,ChIJ4aQWg0SVVRIR75sBqjozhDo,Q948,country/TUN,TN,Tunisia,TN,TUN,0,0,0,,0,0,,,,,,,,11818618,5860752,5957866,3595658,8099061,2327822,2327822,76.072,0.735,2017759,1639938,1725346,1914064,1572471,1361506,962594,424106,200834,38797709923,3317,0.508,192757,34.0,10.0,163610,144635,9897,76.505,32.7,8.5,14.6,106.668,67.321,56.1,16.1,2.3,2.5136,1.3025,250.562225,98.020348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.283333,3.95,15.522222,0.0,3.433333,67.091833
TN,2020-01-08,ChIJ4aQWg0SVVRIR75sBqjozhDo,Q948,country/TUN,TN,Tunisia,TN,TUN,0,0,0,,0,0,,,,,,,,11818618,5860752,5957866,3595658,8099061,2327822,2327822,76.072,0.735,2017759,1639938,1725346,1914064,1572471,1361506,962594,424106,200834,38797709923,3317,0.508,192757,34.0,10.0,163610,144635,9897,76.505,32.7,8.5,14.6,106.668,67.321,56.1,16.1,2.3,2.5136,1.3025,250.562225,98.020348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.561111,3.527778,15.322222,0.0,3.438889,66.282564
TN,2020-01-09,ChIJ4aQWg0SVVRIR75sBqjozhDo,Q948,country/TUN,TN,Tunisia,TN,TUN,0,0,0,,0,0,,,,,,,,11818618,5860752,5957866,3595658,8099061,2327822,2327822,76.072,0.735,2017759,1639938,1725346,1914064,1572471,1361506,962594,424106,200834,38797709923,3317,0.508,192757,34.0,10.0,163610,144635,9897,76.505,32.7,8.5,14.6,106.668,67.321,56.1,16.1,2.3,2.5136,1.3025,250.562225,98.020348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.266667,5.844444,16.0,0.4826,4.994444,70.696258
TN,2020-01-10,ChIJ4aQWg0SVVRIR75sBqjozhDo,Q948,country/TUN,TN,Tunisia,TN,TUN,0,0,0,,0,0,,,,,,,,11818618,5860752,5957866,3595658,8099061,2327822,2327822,76.072,0.735,2017759,1639938,1725346,1914064,1572471,1361506,962594,424106,200834,38797709923,3317,0.508,192757,34.0,10.0,163610,144635,9897,76.505,32.7,8.5,14.6,106.668,67.321,56.1,16.1,2.3,2.5136,1.3025,250.562225,98.020348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.138889,6.116667,15.027778,0.0508,7.0,81.233122
