location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
TW,2020-01-01,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,TW,TWN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,672.6,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,869263,449220,24.0,121.0,36193,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,17.877778,15.238889,20.661111,0.0,14.388889,80.20086
TW,2020-01-02,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,TW,TWN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,672.6,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,869263,449220,24.0,121.0,36193,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,19.483333,15.922222,24.338889,0.0,15.161111,76.262533
TW,2020-01-03,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,TW,TWN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,672.6,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,869263,449220,24.0,121.0,36193,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,19.855556,15.944444,24.277778,0.0,15.455556,76.083055
TW,2020-01-04,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,TW,TWN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,672.6,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,869263,449220,24.0,121.0,36193,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,20.411111,16.927778,24.672222,0.0,16.255556,77.401998
TW,2020-01-05,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,TW,TWN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,672.6,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,869263,449220,24.0,121.0,36193,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,20.972222,17.577778,25.222222,0.0,16.611111,76.377998
TW,2020-01-06,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,TW,TWN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,672.6,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,869263,449220,24.0,121.0,36193,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,20.644444,17.894444,24.9,0.0,17.255556,81.129138
TW,2020-01-07,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,TW,TWN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,672.6,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,869263,449220,24.0,121.0,36193,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,21.683333,17.905556,26.638889,0.0,16.522222,72.62262
TW,2020-01-08,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,TW,TWN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,672.6,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,869263,449220,24.0,121.0,36193,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,19.455556,15.794444,24.05,0.0,13.938889,70.51045
TW,2020-01-09,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,TW,TWN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,672.6,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,869263,449220,24.0,121.0,36193,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,19.744444,17.038889,23.894444,0.0,15.055556,74.490732
TW,2020-01-10,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,TW,TWN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,672.6,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,869263,449220,24.0,121.0,36193,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,20.683333,17.183333,25.4,0.0,16.433333,76.860862
