location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
TZ,2020-01-01,ChIJEaFpSDFRSxgRMMTBSzEXWog,Q924,country/TZA,TZ,Tanzania,TZ,TZA,0,0,0,0,0,,,,,,,,59734213,29851108,29883105,37993578,20011885,6368272,7429015,67.435,0.538,18362316,14089042,9846249,7161928,4820727,2926635,1622800,741236,163280,63177068174,1122,0.4,195270,-6.307,34.854,947300,886549,3405,65.015,14.8,5.7,37.6,249.798,193.172,139.0,17.9,0.5843,0.014,33.916576,8.172585,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.87037,18.833333,29.166667,0.762,18.851852,73.730733
TZ,2020-01-02,ChIJEaFpSDFRSxgRMMTBSzEXWog,Q924,country/TZA,TZ,Tanzania,TZ,TZA,0,1,1,1,1,,,,,,,,59734213,29851108,29883105,37993578,20011885,6368272,7429015,67.435,0.538,18362316,14089042,9846249,7161928,4820727,2926635,1622800,741236,163280,63177068174,1122,0.4,195270,-6.307,34.854,947300,886549,3405,65.015,14.8,5.7,37.6,249.798,193.172,139.0,17.9,0.5843,0.014,33.916576,8.172585,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.055556,19.0,29.462963,0.084667,17.462963,66.764543
TZ,2020-01-03,ChIJEaFpSDFRSxgRMMTBSzEXWog,Q924,country/TZA,TZ,Tanzania,TZ,TZA,0,0,0,1,1,,,,,,,,59734213,29851108,29883105,37993578,20011885,6368272,7429015,67.435,0.538,18362316,14089042,9846249,7161928,4820727,2926635,1622800,741236,163280,63177068174,1122,0.4,195270,-6.307,34.854,947300,886549,3405,65.015,14.8,5.7,37.6,249.798,193.172,139.0,17.9,0.5843,0.014,33.916576,8.172585,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.777778,19.333333,29.444444,0.0,18.074074,70.458312
TZ,2020-01-04,ChIJEaFpSDFRSxgRMMTBSzEXWog,Q924,country/TZA,TZ,Tanzania,TZ,TZA,0,0,0,1,1,,,,,,,,59734213,29851108,29883105,37993578,20011885,6368272,7429015,67.435,0.538,18362316,14089042,9846249,7161928,4820727,2926635,1622800,741236,163280,63177068174,1122,0.4,195270,-6.307,34.854,947300,886549,3405,65.015,14.8,5.7,37.6,249.798,193.172,139.0,17.9,0.5843,0.014,33.916576,8.172585,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.314815,17.87037,29.462963,0.0,17.37037,69.315027
TZ,2020-01-05,ChIJEaFpSDFRSxgRMMTBSzEXWog,Q924,country/TZA,TZ,Tanzania,TZ,TZA,0,0,0,1,1,,,,,,,,59734213,29851108,29883105,37993578,20011885,6368272,7429015,67.435,0.538,18362316,14089042,9846249,7161928,4820727,2926635,1622800,741236,163280,63177068174,1122,0.4,195270,-6.307,34.854,947300,886549,3405,65.015,14.8,5.7,37.6,249.798,193.172,139.0,17.9,0.5843,0.014,33.916576,8.172585,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.0,18.425926,30.259259,0.0,17.648148,67.689566
TZ,2020-01-06,ChIJEaFpSDFRSxgRMMTBSzEXWog,Q924,country/TZA,TZ,Tanzania,TZ,TZA,0,0,0,1,1,,,,,,,,59734213,29851108,29883105,37993578,20011885,6368272,7429015,67.435,0.538,18362316,14089042,9846249,7161928,4820727,2926635,1622800,741236,163280,63177068174,1122,0.4,195270,-6.307,34.854,947300,886549,3405,65.015,14.8,5.7,37.6,249.798,193.172,139.0,17.9,0.5843,0.014,33.916576,8.172585,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.907407,18.62963,28.12963,5.842,18.574074,76.944365
TZ,2020-01-07,ChIJEaFpSDFRSxgRMMTBSzEXWog,Q924,country/TZA,TZ,Tanzania,TZ,TZA,0,0,0,1,1,,,,,,,,59734213,29851108,29883105,37993578,20011885,6368272,7429015,67.435,0.538,18362316,14089042,9846249,7161928,4820727,2926635,1622800,741236,163280,63177068174,1122,0.4,195270,-6.307,34.854,947300,886549,3405,65.015,14.8,5.7,37.6,249.798,193.172,139.0,17.9,0.5843,0.014,33.916576,8.172585,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.203704,18.444444,29.851852,2.963333,18.333333,74.510554
TZ,2020-01-08,ChIJEaFpSDFRSxgRMMTBSzEXWog,Q924,country/TZA,TZ,Tanzania,TZ,TZA,0,0,0,1,1,,,,,,,,59734213,29851108,29883105,37993578,20011885,6368272,7429015,67.435,0.538,18362316,14089042,9846249,7161928,4820727,2926635,1622800,741236,163280,63177068174,1122,0.4,195270,-6.307,34.854,947300,886549,3405,65.015,14.8,5.7,37.6,249.798,193.172,139.0,17.9,0.5843,0.014,33.916576,8.172585,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.87037,18.037037,28.5,8.382,18.462963,76.353041
TZ,2020-01-09,ChIJEaFpSDFRSxgRMMTBSzEXWog,Q924,country/TZA,TZ,Tanzania,TZ,TZA,0,0,0,1,1,,,,,,,,59734213,29851108,29883105,37993578,20011885,6368272,7429015,67.435,0.538,18362316,14089042,9846249,7161928,4820727,2926635,1622800,741236,163280,63177068174,1122,0.4,195270,-6.307,34.854,947300,886549,3405,65.015,14.8,5.7,37.6,249.798,193.172,139.0,17.9,0.5843,0.014,33.916576,8.172585,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.37037,18.37037,28.0,4.910667,18.611111,79.464913
TZ,2020-01-10,ChIJEaFpSDFRSxgRMMTBSzEXWog,Q924,country/TZA,TZ,Tanzania,TZ,TZA,0,0,0,1,1,,,,,,,,59734213,29851108,29883105,37993578,20011885,6368272,7429015,67.435,0.538,18362316,14089042,9846249,7161928,4820727,2926635,1622800,741236,163280,63177068174,1122,0.4,195270,-6.307,34.854,947300,886549,3405,65.015,14.8,5.7,37.6,249.798,193.172,139.0,17.9,0.5843,0.014,33.916576,8.172585,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.518519,18.537037,26.462963,8.297333,18.611111,83.579998
