location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
UG,2020-01-01,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,0,0,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.666667,19.75,29.388889,0.0,17.25,61.537177
UG,2020-01-02,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,1,1,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.5,17.955556,29.977778,0.0,17.3,58.160824
UG,2020-01-03,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.203704,20.333333,30.037037,0.0,18.222222,62.441928
UG,2020-01-04,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.527778,19.833333,29.625,0.0,18.694444,66.737687
UG,2020-01-05,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.680556,19.652778,29.625,2.370667,18.402778,64.913478
UG,2020-01-06,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.138889,18.25,27.625,0.0635,16.541667,64.257274
UG,2020-01-07,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.027778,20.125,28.875,0.0,17.708333,65.670534
UG,2020-01-08,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.518519,17.925926,28.203704,0.0,17.425926,62.032018
UG,2020-01-09,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.861111,16.638889,28.194444,0.508,18.916667,78.832671
UG,2020-01-10,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.097222,18.319444,28.833333,8.043333,18.472222,71.014093
