location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
YE,2020-01-01,ChIJX7w0fKzbAxYRrneufjcp8ZI,Q805,country/YEM,YE,Yemen,YE,YEM,0,0,0,0,0,,,,,,,,29825968,15024985,14800983,18292399,10869523,2874373,2874373,56.492,0.452,8033408,6750274,5732746,4140438,2362804,1422835,879450,403471,100542,27591261663,968,0.369,305092,15.5,48.0,527970,411287,4703,66.096,18.4,5.4,42.9,219.749,174.558,194.2,30.6,0.7852,72.039467,58.321163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.944444,17.0,31.222222,0.0,7.444444,32.734309
YE,2020-01-02,ChIJX7w0fKzbAxYRrneufjcp8ZI,Q805,country/YEM,YE,Yemen,YE,YEM,0,0,0,0,0,,,,,,,,29825968,15024985,14800983,18292399,10869523,2874373,2874373,56.492,0.452,8033408,6750274,5732746,4140438,2362804,1422835,879450,403471,100542,27591261663,968,0.369,305092,15.5,48.0,527970,411287,4703,66.096,18.4,5.4,42.9,219.749,174.558,194.2,30.6,0.7852,72.039467,58.321163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.388889,18.222222,32.0,0.0,6.055556,28.980013
YE,2020-01-03,ChIJX7w0fKzbAxYRrneufjcp8ZI,Q805,country/YEM,YE,Yemen,YE,YEM,0,0,0,0,0,,,,,,,,29825968,15024985,14800983,18292399,10869523,2874373,2874373,56.492,0.452,8033408,6750274,5732746,4140438,2362804,1422835,879450,403471,100542,27591261663,968,0.369,305092,15.5,48.0,527970,411287,4703,66.096,18.4,5.4,42.9,219.749,174.558,194.2,30.6,0.7852,72.039467,58.321163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.5,18.0,31.0,0.0,6.055556,30.557983
YE,2020-01-04,ChIJX7w0fKzbAxYRrneufjcp8ZI,Q805,country/YEM,YE,Yemen,YE,YEM,0,0,0,0,0,,,,,,,,29825968,15024985,14800983,18292399,10869523,2874373,2874373,56.492,0.452,8033408,6750274,5732746,4140438,2362804,1422835,879450,403471,100542,27591261663,968,0.369,305092,15.5,48.0,527970,411287,4703,66.096,18.4,5.4,42.9,219.749,174.558,194.2,30.6,0.7852,72.039467,58.321163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.055556,16.611111,32.111111,0.0,5.666667,28.776476
YE,2020-01-05,ChIJX7w0fKzbAxYRrneufjcp8ZI,Q805,country/YEM,YE,Yemen,YE,YEM,0,0,0,0,0,,,,,,,,29825968,15024985,14800983,18292399,10869523,2874373,2874373,56.492,0.452,8033408,6750274,5732746,4140438,2362804,1422835,879450,403471,100542,27591261663,968,0.369,305092,15.5,48.0,527970,411287,4703,66.096,18.4,5.4,42.9,219.749,174.558,194.2,30.6,0.7852,72.039467,58.321163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.611111,18.0,33.0,0.0,4.944444,24.958762
YE,2020-01-06,ChIJX7w0fKzbAxYRrneufjcp8ZI,Q805,country/YEM,YE,Yemen,YE,YEM,0,0,0,0,0,,,,,,,,29825968,15024985,14800983,18292399,10869523,2874373,2874373,56.492,0.452,8033408,6750274,5732746,4140438,2362804,1422835,879450,403471,100542,27591261663,968,0.369,305092,15.5,48.0,527970,411287,4703,66.096,18.4,5.4,42.9,219.749,174.558,194.2,30.6,0.7852,72.039467,58.321163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.222222,15.222222,23.0,0.0,7.055556,45.177164
YE,2020-01-07,ChIJX7w0fKzbAxYRrneufjcp8ZI,Q805,country/YEM,YE,Yemen,YE,YEM,0,0,0,0,0,,,,,,,,29825968,15024985,14800983,18292399,10869523,2874373,2874373,56.492,0.452,8033408,6750274,5732746,4140438,2362804,1422835,879450,403471,100542,27591261663,968,0.369,305092,15.5,48.0,527970,411287,4703,66.096,18.4,5.4,42.9,219.749,174.558,194.2,30.6,0.7852,72.039467,58.321163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.222222,15.0,21.0,0.0,8.277778,49.101444
YE,2020-01-08,ChIJX7w0fKzbAxYRrneufjcp8ZI,Q805,country/YEM,YE,Yemen,YE,YEM,0,0,0,0,0,,,,,,,,29825968,15024985,14800983,18292399,10869523,2874373,2874373,56.492,0.452,8033408,6750274,5732746,4140438,2362804,1422835,879450,403471,100542,27591261663,968,0.369,305092,15.5,48.0,527970,411287,4703,66.096,18.4,5.4,42.9,219.749,174.558,194.2,30.6,0.7852,72.039467,58.321163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.5,14.5,29.0,0.0,8.166667,39.834585
YE,2020-01-09,ChIJX7w0fKzbAxYRrneufjcp8ZI,Q805,country/YEM,YE,Yemen,YE,YEM,0,0,0,0,0,,,,,,,,29825968,15024985,14800983,18292399,10869523,2874373,2874373,56.492,0.452,8033408,6750274,5732746,4140438,2362804,1422835,879450,403471,100542,27591261663,968,0.369,305092,15.5,48.0,527970,411287,4703,66.096,18.4,5.4,42.9,219.749,174.558,194.2,30.6,0.7852,72.039467,58.321163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.833333,16.611111,31.5,0.0,10.777778,41.249541
YE,2020-01-10,ChIJX7w0fKzbAxYRrneufjcp8ZI,Q805,country/YEM,YE,Yemen,YE,YEM,0,0,0,0,0,,,,,,,,29825968,15024985,14800983,18292399,10869523,2874373,2874373,56.492,0.452,8033408,6750274,5732746,4140438,2362804,1422835,879450,403471,100542,27591261663,968,0.369,305092,15.5,48.0,527970,411287,4703,66.096,18.4,5.4,42.9,219.749,174.558,194.2,30.6,0.7852,72.039467,58.321163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.833333,17.722222,32.0,0.0,9.444444,35.55365
YE,2020-01-11,ChIJX7w0fKzbAxYRrneufjcp8ZI,Q805,country/YEM,YE,Yemen,YE,YEM,0,0,0,0,0,,,,,,,,29825968,15024985,14800983,18292399,10869523,2874373,2874373,56.492,0.452,8033408,6750274,5732746,4140438,2362804,1422835,879450,403471,100542,27591261663,968,0.369,305092,15.5,48.0,527970,411287,4703,66.096,18.4,5.4,42.9,219.749,174.558,194.2,30.6,0.7852,72.039467,58.321163,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.833333,16.0,23.0,0.0,4.5,36.444754
