location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
AR,2020-01-01,Q414,Argentina,3.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-02,Q414,Argentina,14.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-03,Q414,Argentina,3.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-04,Q414,Argentina,7.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-05,Q414,Argentina,5.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-06,Q414,Argentina,9.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-07,Q414,Argentina,4.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-08,Q414,Argentina,3.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-09,Q414,Argentina,0.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-10,Q414,Argentina,1.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-11,Q414,Argentina,0.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-12,Q414,Argentina,1.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-13,Q414,Argentina,0.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-14,Q414,Argentina,0.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-15,Q414,Argentina,2.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-16,Q414,Argentina,0.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-17,Q414,Argentina,2.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-18,Q414,Argentina,1.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-19,Q414,Argentina,10.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-20,Q414,Argentina,1.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-21,Q414,Argentina,0.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-22,Q414,Argentina,0.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-01-23,Q414,Argentina,0.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
AR,2020-01-24,Q414,Argentina,0.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
AR,2020-01-25,Q414,Argentina,0.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
AR,2020-01-26,Q414,Argentina,1.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
AR,2020-01-27,Q414,Argentina,0.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
AR,2020-01-28,Q414,Argentina,1.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
AR,2020-01-29,Q414,Argentina,1.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
AR,2020-01-30,Q414,Argentina,3.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
AR,2020-01-31,Q414,Argentina,1.0,0.0,44938712,-34.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
