location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
AT,2020-01-01,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-02,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-03,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-04,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-05,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-06,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-07,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-08,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-09,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-10,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-11,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-12,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-13,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-14,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-15,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-16,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-17,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-18,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-19,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-20,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-21,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-22,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-23,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-24,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-25,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-26,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-27,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-28,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-29,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-30,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-01-31,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-02-01,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-02-02,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-02-03,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-02-04,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-02-05,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-02-06,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-02-07,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-02-08,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-02-09,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-02-10,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-02-11,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-02-12,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,2020-02-13,Q40,Austria,0.0,0.0,8858775,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
