location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
AU,2020-01-01,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.541667,18.847222,36.430556,0.0,0,-2.351852,12.467775
AU,2020-01-02,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.319444,20.875,40.347222,0.0,0,-4.87037,8.29539
AU,2020-01-03,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.861111,23.902778,45.555556,0.0,0,4.537037,14.665821
AU,2020-01-04,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.125,18.069444,35.638889,0.3175,0,11.296296,39.080044
AU,2020-01-05,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.708333,15.347222,24.083333,7.747,0,12.518519,66.121383
AU,2020-01-06,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.875,15.236111,30.125,0.0,0,16.425926,56.622536
AU,2020-01-07,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.097222,18.902778,34.814815,0.0,0,11.62963,31.120228
AU,2020-01-08,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,24.069444,40.486111,0.0635,0,6.592593,17.626077
AU,2020-01-09,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.347222,27.125,45.083333,0.0,0,8.462963,16.915537
AU,2020-01-10,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.277778,19.666667,39.097222,0.508,0,12.388889,38.005768
AU,2020-01-11,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.944444,18.486111,30.152778,0.0,0,5.555556,28.566833
AU,2020-01-12,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.513889,19.486111,34.680556,0.0,0,0.37037,16.595098
AU,2020-01-13,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.555556,21.472222,37.907407,0.0,0,-0.222222,13.226333
AU,2020-01-14,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.708333,22.041667,41.236111,0.0,0,2.611111,13.798432
AU,2020-01-15,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.791667,22.111111,39.333333,0.0,0,6.722222,22.027682
AU,2020-01-16,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.152778,19.430556,34.791667,0.0,0,7.296296,28.645088
AU,2020-01-17,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.208333,18.333333,33.152778,0.0,0,2.037037,20.934914
AU,2020-01-18,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.583333,17.680556,32.388889,0.0,0,4.925926,24.653009
AU,2020-01-19,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.236111,17.319444,30.902778,0.0,0,7.592593,33.767455
AU,2020-01-20,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.361111,16.666667,30.694444,0.0,0,6.5,31.854023
AU,2020-01-21,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.430556,17.152778,36.472222,0.0,0,4.444444,18.433817
AU,2020-01-22,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.333333,20.569444,41.361111,0.0,0,9.611111,25.654207
AU,2020-01-23,Q408,Australia,1.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.472222,16.972222,32.527778,0.0,0,7.888889,33.907511
AU,2020-01-24,Q408,Australia,3.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.847222,16.569444,31.583333,0.0,0,4.12963,26.21996
AU,2020-01-25,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.56,29.069444,17.958333,35.597222,0.0,0,3.666667,19.906613
AU,2020-01-26,Q408,Australia,0.0,0.0,25499881,-28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.56,30.958333,21.111111,37.694444,0.0,0,5.407407,20.441424
