location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
BE,2020-01-01,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.594444,-0.827778,4.572222,0.0,,0.572222,93.006469
BE,2020-01-02,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.561111,-0.15,7.888889,0.0,,2.538889,93.069822
BE,2020-01-03,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.905556,3.955556,9.655556,1.947333,,6.427778,90.410586
BE,2020-01-04,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.783333,2.266667,7.05,0.73025,,3.105556,88.929692
BE,2020-01-05,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.933333,5.1,6.916667,0.03175,,3.372222,83.642525
BE,2020-01-06,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.133333,1.961111,8.15,0.0,,1.2,75.765025
BE,2020-01-07,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.527778,3.833333,8.122222,0.85725,,4.977778,89.854104
BE,2020-01-08,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.272222,6.561111,11.605556,1.044222,,9.555556,95.342732
BE,2020-01-09,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.272222,9.888889,12.216667,2.596444,,9.777778,90.579715
BE,2020-01-10,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.966667,4.233333,9.994444,4.741333,,5.372222,89.614395
BE,2020-01-11,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,3.361111,6.733333,1.7272,,1.811111,80.463938
BE,2020-01-12,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.216667,3.705556,8.411111,0.282222,,3.827778,84.722938
BE,2020-01-13,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.338889,5.455556,9.838889,0.3175,,5.394444,87.504836
BE,2020-01-14,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.833333,7.977778,11.222222,1.382889,,6.416667,79.363826
BE,2020-01-15,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.522222,5.5,11.655556,1.326444,,5.25,74.721773
BE,2020-01-16,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.611111,2.983333,11.638889,0.2032,,5.005556,83.599667
BE,2020-01-17,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.172222,4.288889,10.016667,0.620889,,4.527778,77.823565
BE,2020-01-18,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.794444,6.655556,0.127,,1.366667,83.894842
BE,2020-01-19,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.661111,-0.25,6.433333,0.282222,,0.722222,87.129727
BE,2020-01-20,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.333333,-0.3,4.566667,0.0,,1.8,96.284287
BE,2020-01-21,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-3.127778,3.816667,0.0,,-1.472222,91.598918
BE,2020-01-22,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.138889,-3.738889,3.205556,0.0,,-0.6,96.73097
BE,2020-01-23,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.994444,0.477778,3.172222,0.0,,1.4,95.876919
BE,2020-01-24,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.622222,-0.416667,1.711111,0.0,,-0.244444,93.963099
BE,2020-01-25,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.411111,-0.761111,3.65,0.0,,0.977778,96.956636
BE,2020-01-26,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.277778,1.098765,9.944444,0.0,,4.049383,85.701568
BE,2020-01-27,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.888889,6.455556,8.733333,3.302,,6.155556,88.840271
BE,2020-01-28,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,4.761111,2.277778,7.316667,4.797778,10.16,1.794444,81.18058
BE,2020-01-29,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,4.4,1.966667,6.733333,1.524,,1.155556,79.592888
BE,2020-01-30,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,7.111111,4.333333,10.648148,0.762,,4.987654,86.380632
BE,2020-01-31,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,11.191358,9.160494,12.148148,0.79375,,8.987654,86.350772
BE,2020-02-01,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,10.333333,7.469136,11.802469,11.119556,,7.932099,85.128527
BE,2020-02-02,Q31,Belgium,1.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,9.555556,5.987654,12.938272,7.394222,,7.518519,87.165839
BE,2020-02-03,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,9.259259,4.938272,10.697531,3.245556,10.16,6.759259,84.434365
BE,2020-02-04,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,4.919753,2.925926,6.382716,12.530667,10.16,2.820988,86.321891
BE,2020-02-05,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,4.472222,1.472222,7.422222,1.2446,,1.844444,83.102724
BE,2020-02-06,Q31,Belgium,0.0,0.0,11455519,50.641111,4.668056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,3.383333,-0.2,7.266667,0.0,,0.716667,82.727885
