location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
BJ,2020-01-01,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.847222,18.722222,33.055556,0.0,0,4.090278,25.290052
BJ,2020-01-02,Q962,Benin,1.0,2.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.006944,18.4375,30.333333,0.0,0,2.340278,24.629082
BJ,2020-01-03,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.243056,15.5,29.3125,0.0,0,0.861111,24.605085
BJ,2020-01-04,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.104167,15.986111,30.444444,0.0,0,2.131944,25.51875
BJ,2020-01-05,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.708333,17.694444,32.958333,0.0,0,5.444444,29.362438
BJ,2020-01-06,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.604167,18.527778,33.430556,0.0,0,8.923611,35.358995
BJ,2020-01-07,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.875,19.916667,34.215278,0.0,0,10.381944,36.209637
BJ,2020-01-08,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.986111,21.388889,35.361111,0.0,0,11.729167,37.520052
BJ,2020-01-09,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.493056,21.756944,35.875,0.0,0,10.611111,34.317219
BJ,2020-01-10,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.319444,21.888889,35.75,0.0,0,14.111111,44.126956
BJ,2020-01-11,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.092593,22.138889,34.287037,0.169333,0,17.851852,59.656967
BJ,2020-01-12,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.354167,22.194444,35.805556,0.0,0,19.520833,56.36446
BJ,2020-01-13,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.479167,23.569444,36.201389,0.0,0,15.625,46.844675
BJ,2020-01-14,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.805556,21.833333,35.041667,0.0,0,10.263889,36.467874
BJ,2020-01-15,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.284722,20.055556,36.583333,0.0,0,8.361111,30.315744
BJ,2020-01-16,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.423611,21.645833,36.173611,0.0,0,10.069444,33.596514
BJ,2020-01-17,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.930556,21.354167,35.944444,0.0,0,9.979167,34.558439
BJ,2020-01-18,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.423611,21.076389,34.958333,0.0,0,10.486111,36.686386
BJ,2020-01-19,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,20.736111,33.229167,0.0,0,7.902778,31.801729
BJ,2020-01-20,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.597222,19.875,34.208333,0.0,0,10.006944,36.021435
BJ,2020-01-21,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.256944,20.979167,35.645833,0.0,0,12.0,37.48251
BJ,2020-01-22,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.215278,22.916667,35.888889,0.0,0,11.263889,33.86451
BJ,2020-01-23,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.631944,22.5,35.965278,0.0,0,10.006944,33.661565
BJ,2020-01-24,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.069444,22.340278,35.840278,0.0,0,3.576389,22.469381
BJ,2020-01-25,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.569444,21.041667,35.326389,0.0,0,0.847222,18.943986
BJ,2020-01-26,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.930556,18.986111,35.291667,0.0,0,1.326389,20.188505
BJ,2020-01-27,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.722222,19.583333,35.208333,0.0,0,4.618056,25.522984
BJ,2020-01-28,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.708333,19.805556,34.534722,0.0,0,6.75,29.913751
BJ,2020-01-29,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.958333,20.201389,36.472222,0.0,0,5.083333,25.306902
BJ,2020-01-30,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.465278,20.854167,36.666667,0.0,0,2.986111,22.776292
BJ,2020-01-31,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.125,20.1875,36.25,0.0,0,7.104167,30.148797
BJ,2020-02-01,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,28.361111,21.381944,35.694444,0.0,0,6.916667,29.31607
BJ,2020-02-02,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,27.701389,20.930556,35.451389,0.0,0,2.638889,21.450894
BJ,2020-02-03,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,26.881944,19.125,35.319444,0.0,0,0.743056,19.567507
BJ,2020-02-04,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,27.333333,19.520833,35.409722,0.0,0,4.368056,24.92557
BJ,2020-02-05,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,27.277778,20.409722,34.736111,0.0,0,6.986111,30.153818
BJ,2020-02-06,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,27.881944,20.923611,35.493056,0.0,0,4.583333,24.641454
BJ,2020-02-07,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,28.326389,21.236111,35.895833,0.0,0,3.458333,21.472804
BJ,2020-02-08,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,28.826389,21.256944,36.319444,0.0,0,3.159722,20.434174
BJ,2020-02-09,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,28.659722,22.215278,35.944444,0.0,0,8.166667,30.239476
BJ,2020-02-10,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,28.847222,23.222222,34.736111,0.0,0,11.597222,36.858671
BJ,2020-02-11,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,28.854167,23.659722,34.673611,0.0,0,3.847222,21.394709
BJ,2020-02-12,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,28.652778,23.069444,35.006944,0.0,0,0.506944,16.881991
BJ,2020-02-13,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,27.916667,21.909722,35.3125,0.0,0,3.263889,21.322617
BJ,2020-02-14,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,28.730159,21.97619,36.484127,0.0,0,3.007937,20.436627
BJ,2020-02-15,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,29.201389,21.173611,37.784722,0.0,0,1.9375,18.58766
BJ,2020-02-16,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,29.347222,21.180556,38.104167,0.0,0,5.694444,25.234239
BJ,2020-02-17,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,29.5,21.708333,37.785714,0.0,0,9.319444,32.714652
BJ,2020-02-18,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,29.701389,22.798611,37.402778,0.0,0,12.715278,38.570021
BJ,2020-02-19,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,30.069444,23.333333,37.301587,0.0,0,10.743056,34.166246
BJ,2020-02-20,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,29.958333,23.388889,37.708333,0.0,0,12.1875,37.508233
BJ,2020-02-21,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,30.4375,23.388889,37.979167,0.0,0,11.534722,34.598419
BJ,2020-02-22,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,31.131944,24.1875,38.743056,0.0,0,11.472222,33.258414
BJ,2020-02-23,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,31.236111,24.590278,38.527778,0.0,0,10.416667,31.276951
BJ,2020-02-24,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,31.090278,25.465278,37.631944,0.0,0,8.701389,29.044468
BJ,2020-02-25,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,29.770833,23.361111,36.861111,0.0,0,7.208333,26.70458
BJ,2020-02-26,Q962,Benin,0.0,0.0,12123198,8.833333,2.183333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,29.097222,22.027778,37.097222,0.0,0,11.277778,36.374636
