location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
BN,2020-01-01,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BN,2020-01-02,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BN,2020-01-03,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BN,2020-01-04,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BN,2020-01-05,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BN,2020-01-06,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-07,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-08,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-09,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-10,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-11,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-12,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-13,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-14,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-15,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-16,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-17,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-18,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-19,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-20,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-21,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-22,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-23,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-24,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-25,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-26,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
BN,2020-01-27,Q921,Brunei,0.0,0.0,437483,4.4,114.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11
