location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
BS,2020-01-01,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-02,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-03,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-04,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-05,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-06,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-07,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-08,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-09,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-10,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-11,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-12,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-13,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-14,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-15,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-16,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-17,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-18,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-19,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-20,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-21,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,2020-01-22,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
BS,2020-01-23,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
BS,2020-01-24,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
BS,2020-01-25,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
BS,2020-01-26,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
BS,2020-01-27,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
BS,2020-01-28,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
BS,2020-01-29,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
BS,2020-01-30,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
BS,2020-01-31,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
BS,2020-02-01,Q778,Bahamas,0.0,0.0,393248,25.0,-77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
