location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
CA,2020-01-01,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-02,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-03,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-04,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-05,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-06,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-07,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-08,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-09,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-10,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-11,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-12,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-13,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-14,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-15,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-16,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-17,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-18,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-19,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-20,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-21,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA,2020-01-22,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.78
CA,2020-01-23,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.78
CA,2020-01-24,Q16,Canada,1.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.78
CA,2020-01-25,Q16,Canada,0.0,0.0,37742157,56.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.78
