location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
CL,2020-01-01,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-02,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-03,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-04,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-05,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-06,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-07,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-08,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-09,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-10,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-11,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-12,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-13,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-14,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-15,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-16,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-17,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-18,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-19,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-20,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-21,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-22,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-23,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-24,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-25,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-26,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-27,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-28,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,2020-01-29,Q298,Chile,0.0,0.0,17574003,-33.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
