location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
CO,2020-01-01,Q739,Colombia,0.0,0.0,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2020-01-02,Q739,Colombia,0.0,0.0,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2020-01-03,Q739,Colombia,0.0,0.0,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2020-01-04,Q739,Colombia,0.0,0.0,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2020-01-05,Q739,Colombia,0.0,0.0,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2020-01-06,Q739,Colombia,0.0,0.0,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2020-01-07,Q739,Colombia,0.0,0.0,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2020-01-08,Q739,Colombia,0.0,0.0,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2020-01-09,Q739,Colombia,0.0,0.0,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2020-01-10,Q739,Colombia,0.0,0.0,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2020-01-11,Q739,Colombia,0.0,0.0,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2020-01-12,Q739,Colombia,0.0,0.0,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2020-01-13,Q739,Colombia,0.0,0.0,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2020-01-14,Q739,Colombia,0.0,0.0,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2020-01-15,Q739,Colombia,0.0,0.0,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2020-01-16,Q739,Colombia,0.0,0.0,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2020-01-17,Q739,Colombia,0.0,0.0,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2020-01-18,Q739,Colombia,0.0,0.0,50882884,4.0,-73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
