location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
CR,2020-01-01,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.722222,21.357143,30.460317,0.0,0,19.888889,66.596124
CR,2020-01-02,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.291667,21.104167,30.451389,0.0,0,20.451389,70.595967
CR,2020-01-03,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.395833,21.0625,30.263889,0.0,0,20.819444,71.733179
CR,2020-01-04,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.243056,21.291667,30.951389,0.0,0,20.555556,67.395258
CR,2020-01-05,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.083333,21.659722,30.875,0.036286,0,19.541667,64.088194
CR,2020-01-06,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.013889,21.951389,30.715278,0.550333,0,20.1875,66.610492
CR,2020-01-07,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.291667,19.972222,30.625,0.508,0,19.013889,64.877528
CR,2020-01-08,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.340278,21.284722,30.375,0.0,0,19.104167,65.475295
CR,2020-01-09,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.380952,22.484127,30.833333,0.0,0,19.888889,64.269978
CR,2020-01-10,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.395833,22.798611,31.097222,0.127,0,19.409722,62.280542
CR,2020-01-11,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.479167,22.659722,30.576389,0.0,0,20.791667,67.455422
CR,2020-01-12,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.555556,23.020833,31.291667,0.550333,0,20.798611,67.129457
CR,2020-01-13,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.090278,22.708333,30.888889,3.374571,0,20.069444,66.103973
CR,2020-01-14,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.229167,23.597222,30.638889,4.898571,0,20.534722,67.456923
CR,2020-01-15,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.034722,23.013889,30.472222,0.0,0,19.631944,64.820611
CR,2020-01-16,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.034722,21.875,30.75,2.794,0,20.076389,66.324061
CR,2020-01-17,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.180556,22.277778,30.756944,0.0,0,21.611111,72.523529
CR,2020-01-18,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.423611,23.777778,30.604167,2.576286,0,21.326389,69.956252
CR,2020-01-19,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.673611,23.1875,30.826389,4.6228,0,21.180556,68.465252
CR,2020-01-20,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.895833,23.034722,30.694444,3.513667,0,20.673611,69.399745
CR,2020-01-21,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.361111,22.180556,30.270833,0.66675,0,20.451389,70.548314
CR,2020-01-22,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,25.1875,21.305556,29.048611,0.0,0,18.5625,66.996968
CR,2020-01-23,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,25.791667,20.888889,30.034722,0.290286,0,19.847222,70.234072
CR,2020-01-24,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.368056,20.423611,30.555556,3.77825,0,20.104167,69.056675
CR,2020-01-25,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.069444,20.145833,30.611111,0.28575,0,19.0625,66.020077
CR,2020-01-26,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,25.944444,19.909722,29.902778,0.0,0,18.9375,66.017135
CR,2020-01-27,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.25,20.25,30.402778,0.0,0,20.486111,70.933168
CR,2020-01-28,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.166667,20.833333,30.819444,8.091714,0,21.048611,73.945354
CR,2020-01-29,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.041667,21.048611,30.631944,0.6096,0,21.9375,78.509897
CR,2020-01-30,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,27.034722,21.465278,30.9375,1.814286,0,21.270833,71.163232
CR,2020-01-31,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,27.083333,20.423611,31.076389,0.03175,0,19.520833,63.749017
CR,2020-02-01,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.743056,20.409722,31.083333,0.0,0,20.090278,67.416006
CR,2020-02-02,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.729167,21.090278,31.243056,1.560286,0,19.993056,67.692932
CR,2020-02-03,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,27.263889,22.020833,30.722222,4.898571,0,19.722222,64.217058
CR,2020-02-04,Q800,Costa Rica,0.0,0.0,5094114,10.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,27.1875,22.215278,30.861111,0.0,0,20.305556,66.655591
