location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
CU,2020-01-01,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.190476,21.253968,29.611111,0.0,0,22.111111,83.193002
CU,2020-01-02,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.547619,22.444444,29.857143,0.0,0,21.714286,79.419574
CU,2020-01-03,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.761905,22.357143,30.5,0.0,0,21.47619,77.353367
CU,2020-01-04,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.412698,21.0,30.785714,0.0,0,21.738095,80.236197
CU,2020-01-05,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,21.325397,27.0,0.0,0,19.674603,77.086648
CU,2020-01-06,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.198413,19.230159,25.65873,0.0,0,15.52381,66.011186
CU,2020-01-07,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.111111,17.230159,26.896825,0.0,0,16.769841,72.001865
CU,2020-01-08,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.68254,19.357143,26.730159,0.0,0,17.444444,72.488434
CU,2020-01-09,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.97619,21.055556,27.380952,0.0,0,19.595238,76.70983
CU,2020-01-10,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.484127,23.515873,28.611111,1.9812,0,21.904762,80.918131
CU,2020-01-11,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.15873,23.460317,29.896825,0.0,0,21.698413,76.695713
CU,2020-01-12,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,23.18254,30.055556,0.0,0,21.746032,75.927995
CU,2020-01-13,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.103175,23.642857,29.031746,0.2032,0,22.0,78.592018
CU,2020-01-14,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.809524,23.380952,29.126984,0.0,0,20.888889,74.44677
CU,2020-01-15,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.285714,20.349206,28.134921,0.0,0,18.571429,70.684703
CU,2020-01-16,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.365079,21.428571,28.039683,0.0,0,20.753968,80.528139
CU,2020-01-17,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.301587,20.515873,27.666667,1.415143,0,18.896825,72.043974
CU,2020-01-18,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.468254,20.785714,26.031746,0.6096,0,19.47619,78.821888
CU,2020-01-19,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.420635,21.468254,28.515873,0.762,0,20.452381,78.762482
CU,2020-01-20,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.063492,19.071429,28.888889,0.0,0,20.714286,81.702822
CU,2020-01-21,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.373016,19.388889,25.603175,2.9464,0,18.928571,81.231879
CU,2020-01-22,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.865079,14.714286,20.65873,1.735667,0,10.269841,61.228472
CU,2020-01-23,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.833333,11.468254,25.325397,0.0,0,11.904762,68.458258
CU,2020-01-24,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.896825,15.531746,26.571429,0.0,0,16.563492,76.584557
CU,2020-01-25,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.52381,17.571429,27.285714,0.0,0,18.230159,77.072675
CU,2020-01-26,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.230159,17.801587,27.02381,0.0,0,18.246032,78.423277
CU,2020-01-27,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.65873,16.603175,28.746032,0.0,0,17.857143,74.471688
CU,2020-01-28,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,23.952381,19.31746,28.603175,0.0,0,19.603175,76.775016
CU,2020-01-29,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,24.087302,19.253968,29.071429,0.0,0,20.02381,78.162545
CU,2020-01-30,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,24.801587,20.65873,29.373016,0.169333,0,20.825397,78.814744
CU,2020-01-31,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,25.103175,21.142857,30.0,0.0,0,21.214286,79.219104
CU,2020-02-01,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,25.134921,20.380952,30.253968,0.0,0,21.079365,78.34611
CU,2020-02-02,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,23.444444,20.198413,27.253968,0.0,0,18.150794,72.371863
CU,2020-02-03,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,20.809524,15.825397,26.325397,0.0,0,14.579365,67.634801
CU,2020-02-04,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,22.84127,17.5,28.611111,0.0,0,17.619048,72.462338
CU,2020-02-05,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,24.68254,19.801587,30.31746,0.0,0,20.269841,76.61212
CU,2020-02-06,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,25.412698,21.5,30.373016,0.0,0,20.555556,74.780866
CU,2020-02-07,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,26.404762,22.037037,30.833333,0.0,0,21.507937,74.642341
CU,2020-02-08,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,25.126984,21.31746,29.222222,0.0,0,21.674603,81.315876
CU,2020-02-09,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,25.404762,22.753968,29.301587,0.0,0,21.65873,79.942555
CU,2020-02-10,Q241,Cuba,0.0,0.0,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,25.547619,22.296296,29.916667,0.0,0,20.888889,75.619647
