location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
CX,2020-01-01,Q31063,Christmas Island,0,0,1843,-10.49,105.6275,0,0,0,0,0,0,0,0,0,0,26.611111,24.888889,31.0,0.0,0,23.222222,81.694244
CX,2020-01-02,Q31063,Christmas Island,0,0,1843,-10.49,105.6275,0,0,0,0,0,0,0,0,0,0,26.388889,24.722222,29.0,0.0,0,23.055556,81.941813
CX,2020-01-03,Q31063,Christmas Island,0,0,1843,-10.49,105.6275,0,0,0,0,0,0,0,0,0,0,25.388889,24.0,29.0,,0,23.833333,91.117886
CX,2020-01-04,Q31063,Christmas Island,0,0,1843,-10.49,105.6275,0,0,0,0,0,0,0,0,0,0,25.222222,23.611111,28.0,,0,23.388889,89.594417
CX,2020-01-05,Q31063,Christmas Island,0,0,1843,-10.49,105.6275,0,0,0,0,0,0,0,0,0,0,24.722222,23.0,27.0,,0,23.111111,90.770123
CX,2020-01-06,Q31063,Christmas Island,0,0,1843,-10.49,105.6275,0,0,0,0,0,0,0,0,0,0,25.333333,23.0,28.277778,0.0,0,21.166667,77.746475
CX,2020-01-07,Q31063,Christmas Island,0,0,1843,-10.49,105.6275,0,0,0,0,0,0,0,0,0,0,25.388889,22.611111,29.0,0.0,0,19.555556,70.152938
CX,2020-01-08,Q31063,Christmas Island,0,0,1843,-10.49,105.6275,0,0,0,0,0,0,0,0,0,0,25.555556,23.0,28.0,0.0,0,20.777778,74.91457
CX,2020-01-09,Q31063,Christmas Island,0,0,1843,-10.49,105.6275,0,0,0,0,0,0,0,0,0,0,24.722222,21.0,28.277778,0.0,0,21.222222,80.906155
CX,2020-01-10,Q31063,Christmas Island,0,0,1843,-10.49,105.6275,0,0,0,0,0,0,0,0,0,0,25.055556,21.722222,29.0,0.0,0,21.277778,79.583467
CX,2020-01-11,Q31063,Christmas Island,0,0,1843,-10.49,105.6275,0,0,0,0,0,0,0,0,0,0,25.666667,23.0,29.0,0.0,0,22.277778,81.577269
CX,2020-01-12,Q31063,Christmas Island,0,0,1843,-10.49,105.6275,0,0,0,0,0,0,0,0,0,0,25.888889,23.0,29.0,,0,22.0,79.158869
CX,2020-01-13,Q31063,Christmas Island,0,0,1843,-10.49,105.6275,0,0,0,0,0,0,0,0,0,0,24.888889,23.722222,27.0,,0,23.444444,91.698925
