location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
EH,2020-01-01,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,16.166667,11.0,22.0,0.0,0,-6.222222,20.964236
EH,2020-01-02,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,14.833333,9.0,21.0,0.0,0,-10.444444,16.443295
EH,2020-01-03,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,15.555556,10.0,22.0,0.0,0,-7.388889,19.931882
EH,2020-01-04,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,15.166667,9.0,23.0,0.0,0,2.888889,43.682286
EH,2020-01-05,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,15.166667,10.0,22.0,0.0,0,10.833333,75.339307
EH,2020-01-06,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,16.0,13.0,21.0,0.0,0,11.111111,72.753294
EH,2020-01-07,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,16.111111,12.0,22.0,0.0,0,3.555556,43.102137
EH,2020-01-08,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,15.555556,11.0,21.0,0.0,0,9.333333,66.47116
EH,2020-01-09,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,15.5,9.0,22.0,0.0,0,10.611111,72.662887
EH,2020-01-10,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,16.277778,12.0,22.0,0.0,0,12.111111,76.356826
EH,2020-01-11,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,15.444444,13.0,19.0,0.0,0,11.666667,78.208452
EH,2020-01-12,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,17.333333,12.0,24.0,0.0,0,5.888889,46.937082
EH,2020-01-13,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,17.611111,12.0,24.0,0.0,0,-2.388889,25.517459
EH,2020-01-14,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,16.388889,9.0,22.0,0.0,0,-5.5,21.838135
EH,2020-01-15,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,14.666667,9.0,22.0,0.0,0,-5.277778,24.800332
EH,2020-01-16,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,14.888889,8.0,22.0,0.0,0,-1.833333,31.620607
EH,2020-01-17,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,16.722222,9.0,25.0,0.0,0,-4.111111,23.743188
EH,2020-01-18,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,17.111111,10.0,26.0,0.0,0,-4.5,22.49778
EH,2020-01-19,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,16.555556,10.0,24.0,0.0,0,5.555556,48.183925
EH,2020-01-20,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,16.444444,15.0,19.0,0.0,0,9.444444,63.27519
EH,2020-01-21,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,15.277778,12.0,19.0,0.0,0,7.555556,59.989495
EH,2020-01-22,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,13.277778,8.0,20.0,0.0,0,7.555556,68.276142
EH,2020-01-23,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,14.111111,8.0,21.0,0.0,0,8.833333,70.535801
EH,2020-01-24,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,16.055556,11.0,22.0,0.0,0,9.611111,65.592596
EH,2020-01-25,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,14.666667,8.0,21.0,0.0,0,10.611111,76.662066
EH,2020-01-26,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,14.833333,8.0,22.0,0.0,0,9.5,70.411921
EH,2020-01-27,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,16.0,10.0,24.0,0.0,0,10.833333,71.423913
EH,2020-01-28,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,18.333333,10.0,29.0,0.0,0,3.722222,37.893195
EH,2020-01-29,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,21.222222,14.0,29.0,0.0,0,-6.166667,15.346836
EH,2020-01-30,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,19.666667,13.0,28.0,0.0,0,-10.055556,12.491417
EH,2020-01-31,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,19.222222,11.0,28.0,0.0,0,-5.222222,18.659196
EH,2020-02-01,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,17.444444,9.0,28.0,0.0,0,8.722222,56.568365
EH,2020-02-02,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,19.555556,11.0,31.0,0.0,0,0.888889,28.698891
EH,2020-02-03,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,22.388889,16.0,31.0,0.0,0,-4.555556,16.148535
EH,2020-02-04,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,22.666667,17.0,30.0,0.0,0,-2.888889,17.986351
EH,2020-02-05,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,21.333333,15.0,31.0,0.0,0,-3.222222,19.032104
EH,2020-02-06,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,18.722222,12.0,27.0,0.0,0,8.0,49.711045
EH,2020-02-07,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,18.777778,15.0,25.0,0.0,0,13.277778,70.393562
EH,2020-02-08,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,18.277778,14.0,25.0,0.0,0,12.388889,68.528449
EH,2020-02-09,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,18.611111,15.0,23.0,0.0,0,13.611111,72.691801
EH,2020-02-10,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,19.666667,14.0,30.0,0.0,0,12.444444,63.069201
EH,2020-02-11,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,20.777778,13.0,31.0,0.0,0,1.666667,28.137437
EH,2020-02-12,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,21.111111,14.0,29.0,0.0,0,0.888889,26.070288
EH,2020-02-13,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,23.111111,17.0,31.0,0.0,0,-0.611111,20.70308
EH,2020-02-14,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,21.166667,15.0,28.0,0.0,0,0.444444,25.161922
EH,2020-02-15,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,18.5,14.0,26.0,0.0,0,13.444444,72.409547
EH,2020-02-16,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,19.277778,14.0,30.0,0.0,0,13.055556,67.249863
EH,2020-02-17,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,19.666667,13.0,30.0,0.0,0,13.388889,67.086623
EH,2020-02-18,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,19.666667,16.0,30.0,0.0,0,13.722222,68.557381
EH,2020-02-19,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,18.944444,15.0,25.0,0.0,0,13.111111,68.911267
EH,2020-02-20,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,18.388889,15.0,24.0,0.0,0,11.611111,64.654724
EH,2020-02-21,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,17.722222,13.0,26.0,0.0,0,12.277778,70.447979
EH,2020-02-22,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,22.777778,12.0,33.0,0.0,0,1.277778,24.217419
EH,2020-02-23,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,27.5,23.0,32.0,0.0,0,-6.222222,10.491127
EH,2020-02-24,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,26.166667,24.0,29.0,0.0,0,-7.611111,10.198506
EH,2020-02-25,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,23.666667,17.0,31.0,0.0,0,0.666667,21.96389
EH,2020-02-26,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,16.888889,16.0,20.0,0.0,0,13.0,77.856305
EH,2020-02-27,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,19.055556,16.0,24.0,0.0,0,12.277778,64.800046
EH,2020-02-28,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,18.277778,15.0,24.0,0.0,0,13.444444,73.42512
EH,2020-02-29,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,18.833333,15.0,25.0,0.0,0,12.444444,66.428097
EH,2020-03-01,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,18.777778,15.0,25.0,0.0,0,11.5,62.638534
EH,2020-03-02,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,19.777778,16.0,25.0,0.0,0,13.777778,68.33257
EH,2020-03-03,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,19.388889,15.0,26.0,0.0,0,14.611111,73.883268
EH,2020-03-04,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,25.75,17.5,32.5,0.0,0,12.805556,50.158206
EH,2020-03-05,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,19.055556,16.0,24.0,0.0,0,13.777778,71.471489
EH,2020-03-06,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,18.555556,16.0,22.0,,0,12.166667,66.369662
EH,2020-03-07,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,19.444444,15.0,26.0,0.0,0,12.388889,63.713108
EH,2020-03-08,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,22.0,14.0,33.0,0.0,0,5.111111,33.288151
EH,2020-03-09,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,25.305556,18.0,31.5,0.0,0,7.166667,32.340256
EH,2020-03-10,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,19.722222,14.0,29.0,0.0,0,12.611111,63.542925
EH,2020-03-11,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,21.555556,13.0,34.0,0.0,0,5.833333,35.961278
EH,2020-03-12,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,22.944444,14.0,35.0,0.0,0,5.0,31.189504
EH,2020-03-13,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,19.388889,15.0,27.0,0.0,0,13.5,68.750154
EH,2020-03-14,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,19.055556,15.0,26.0,0.0,0,11.777778,62.701529
EH,2020-03-15,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,17.777778,13.0,24.0,0.0,0,11.277778,65.720118
EH,2020-03-16,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,18.222222,15.0,23.0,0.0,0,12.111111,67.523612
EH,2020-03-17,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,17.888889,16.0,22.0,0.0,0,8.111111,52.775092
EH,2020-03-18,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,17.055556,13.0,22.0,0.0,0,9.555556,61.323888
EH,2020-03-19,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,17.444444,14.0,22.0,,0,12.277778,71.692941
EH,2020-03-20,Q6250,Western Sahara,0,0,597330,25.0,-13.0,0,0,0,0,0,0,0,0,0,0,19.5,16.0,28.0,0.0,0,13.833333,69.772401
