location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
GE,2020-01-01,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-02,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-03,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-04,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-05,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-06,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-07,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-08,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-09,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-10,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-11,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-12,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-13,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-14,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-15,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-16,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-17,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-18,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-19,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-20,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-21,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-22,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-23,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-24,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-25,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-26,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-27,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
GE,2020-01-28,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.33,0,0,0,0,0,0,0
GE,2020-01-29,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-01-30,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-01-31,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-02-01,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-02-02,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-02-03,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-02-04,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-02-05,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-02-06,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-02-07,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-02-08,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-02-09,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-02-10,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-02-11,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-02-12,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-02-13,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-02-14,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-02-15,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-02-16,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-02-17,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
GE,2020-02-18,Q4962,Georgia,0.0,0.0,3989175,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0,0,0,0,0,0,0
