location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
GQ,2020-01-01,Q983,Equatorial Guinea,0.0,0.0,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,27.777778,24.0,31.305556,0.0,0,23.347222,76.941557
GQ,2020-01-02,Q983,Equatorial Guinea,1.0,1.0,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,27.736111,24.0,30.652778,0.6985,0,23.486111,78.02407
GQ,2020-01-03,Q983,Equatorial Guinea,0.0,0.0,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,27.277778,23.5,30.0,0.0,0,21.777778,72.103826
GQ,2020-01-04,Q983,Equatorial Guinea,0.0,0.0,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,28.111111,22.75,31.125,0.0,0,22.25,70.871511
GQ,2020-01-05,Q983,Equatorial Guinea,0.0,0.0,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,28.513889,23.25,31.722222,0.0,0,23.180556,73.144067
GQ,2020-01-06,Q983,Equatorial Guinea,0.0,0.0,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,28.513889,24.5,31.638889,0.0,0,23.430556,74.231691
GQ,2020-01-07,Q983,Equatorial Guinea,0.0,0.0,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,28.044444,24.2,31.044444,0.0,0,23.933333,78.795448
GQ,2020-01-08,Q983,Equatorial Guinea,0.0,0.0,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,28.033333,24.4,31.044444,0.0,0,24.111111,79.509417
GQ,2020-01-09,Q983,Equatorial Guinea,0.0,0.0,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,26.411111,23.355556,28.4,13.0048,0,23.7,85.262561
GQ,2020-01-10,Q983,Equatorial Guinea,0.0,0.0,1402985,1.5,10.0,0,0,0,0,0,0,0,0,0,0,26.988889,22.4,30.9,0.0,0,22.777778,77.846047
