location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
GT,2020-01-01,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.309524,14.857143,27.0,0.0,0,14.31746,65.51071
GT,2020-01-02,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.753968,11.714286,28.428571,0.0,0,13.753968,64.946315
GT,2020-01-03,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.865079,14.285714,28.714286,0.0,0,14.785714,65.194045
GT,2020-01-04,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.619048,15.142857,24.142857,0.0,0,15.730159,79.520021
GT,2020-01-05,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.087302,14.285714,22.285714,0.0,0,12.206349,70.279624
GT,2020-01-06,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.150794,12.857143,23.571429,0.0,0,12.880952,72.118907
GT,2020-01-07,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.960317,12.428571,22.571429,0.0,0,13.507937,76.274729
GT,2020-01-08,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.269841,14.857143,22.0,0.0,0,13.634921,75.495765
GT,2020-01-09,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.15873,14.428571,24.0,0.0,0,13.880952,72.378495
GT,2020-01-10,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.333333,16.0,26.714286,0.0,0,14.611111,66.512349
GT,2020-01-11,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.507937,16.666667,28.0,0.0,0,15.0,63.513017
GT,2020-01-12,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.333333,16.142857,26.285714,0.0,0,15.404762,69.632731
GT,2020-01-13,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.674603,15.857143,26.428571,0.0,0,14.904762,70.257497
GT,2020-01-14,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.587302,17.142857,25.857143,0.0,0,15.460317,69.062328
GT,2020-01-15,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.714286,15.857143,25.285714,0.0,0,14.603175,69.124388
GT,2020-01-16,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.47619,13.285714,24.142857,0.0,0,14.087302,72.145233
GT,2020-01-17,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.769841,17.285714,25.0,0.0,0,15.587302,73.06197
GT,2020-01-18,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.18254,16.142857,26.142857,0.0,0,15.777778,72.18494
GT,2020-01-19,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.373016,16.142857,24.428571,0.0,0,15.515873,74.318973
GT,2020-01-20,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.960317,16.428571,23.285714,0.0,0,14.84127,73.952407
GT,2020-01-21,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,17.896825,13.857143,21.285714,0.0,0,13.031746,74.463593
GT,2020-01-22,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,17.960317,12.571429,24.428571,0.0,0,12.039683,69.078826
GT,2020-01-23,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,19.690476,10.0,28.0,0.0,0,12.349206,63.540636
GT,2020-01-24,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,20.15873,12.285714,27.0,0.0,0,13.007937,64.503599
GT,2020-01-25,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,20.325397,14.0,25.714286,0.0,0,13.809524,66.761729
GT,2020-01-26,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,20.952381,12.857143,28.0,0.0,0,13.468254,63.525232
GT,2020-01-27,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,21.396825,14.428571,27.714286,0.0,0,14.777778,67.002027
GT,2020-01-28,Q774,Guatemala,0.0,0.0,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,22.277778,14.428571,29.0,0.0,0,15.396825,66.040946
