location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
GW,2020-01-01,Q1007,Guinea-Bissau,0.0,0.0,1967998,12.0,-15.0,0,0,0,0,0,0,0,0,0,0,25.314815,16.666667,34.333333,0.0,0,9.648148,37.565772
GW,2020-01-02,Q1007,Guinea-Bissau,2.0,1.0,1967998,12.0,-15.0,0,0,0,0,0,0,0,0,0,0,25.842593,17.361111,32.703704,0.0,0,8.611111,35.047751
GW,2020-01-03,Q1007,Guinea-Bissau,0.0,0.0,1967998,12.0,-15.0,0,0,0,0,0,0,0,0,0,0,23.203704,16.666667,33.074074,0.0,0,9.444444,41.769535
GW,2020-01-04,Q1007,Guinea-Bissau,0.0,0.0,1967998,12.0,-15.0,0,0,0,0,0,0,0,0,0,0,25.351852,19.259259,32.666667,0.0,0,9.12963,36.117192
GW,2020-01-05,Q1007,Guinea-Bissau,0.0,0.0,1967998,12.0,-15.0,0,0,0,0,0,0,0,0,0,0,24.074074,15.203704,32.333333,0.0,0,7.222222,34.082221
GW,2020-01-06,Q1007,Guinea-Bissau,0.0,0.0,1967998,12.0,-15.0,0,0,0,0,0,0,0,0,0,0,23.148148,14.0,31.666667,0.0,0,5.981481,33.037765
GW,2020-01-07,Q1007,Guinea-Bissau,0.0,0.0,1967998,12.0,-15.0,0,0,0,0,0,0,0,0,0,0,22.425926,14.925926,30.666667,0.0,0,5.648148,34.143601
GW,2020-01-08,Q1007,Guinea-Bissau,0.0,0.0,1967998,12.0,-15.0,0,0,0,0,0,0,0,0,0,0,24.288889,15.0,31.6,0.0,0,7.722222,35.998769
GW,2020-01-09,Q1007,Guinea-Bissau,0.0,0.0,1967998,12.0,-15.0,0,0,0,0,0,0,0,0,0,0,24.685185,15.333333,33.0,0.0,0,7.333333,33.060147
GW,2020-01-10,Q1007,Guinea-Bissau,0.0,0.0,1967998,12.0,-15.0,0,0,0,0,0,0,0,0,0,0,23.166667,15.75,29.25,0.0,0,6.194444,35.39176
