location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
GY,2020-01-01,Q734,Guyana,0.0,0.0,786559,5.733333,-59.316667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.944444,23.0,30.12963,0.0,0,22.796296,78.096036
GY,2020-01-02,Q734,Guyana,0.0,0.0,786559,5.733333,-59.316667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.711111,21.955556,31.133333,0.1016,0,21.988889,71.395114
GY,2020-01-03,Q734,Guyana,0.0,0.0,786559,5.733333,-59.316667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.977778,21.6,31.188889,0.0,0,22.444444,72.253373
GY,2020-01-04,Q734,Guyana,0.0,0.0,786559,5.733333,-59.316667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,22.402778,30.180556,0.381,0,22.375,73.77756
GY,2020-01-05,Q734,Guyana,0.0,0.0,786559,5.733333,-59.316667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.472222,22.388889,30.333333,0.0,0,21.666667,70.808452
GY,2020-01-06,Q734,Guyana,0.0,0.0,786559,5.733333,-59.316667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.833333,20.0,30.694444,0.0,0,21.666667,77.925854
GY,2020-01-07,Q734,Guyana,0.0,0.0,786559,5.733333,-59.316667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.522222,23.988889,30.577778,0.508,0,23.111111,77.386707
GY,2020-01-08,Q734,Guyana,0.0,0.0,786559,5.733333,-59.316667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.911111,24.044444,30.466667,4.0005,0,23.844444,78.91385
GY,2020-01-09,Q734,Guyana,0.0,0.0,786559,5.733333,-59.316667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.916667,23.680556,29.819444,0.381,0,23.430556,81.697526
GY,2020-01-10,Q734,Guyana,0.0,0.0,786559,5.733333,-59.316667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.861111,23.194444,30.0,21.082,0,22.944444,79.255146
GY,2020-01-11,Q734,Guyana,0.0,0.0,786559,5.733333,-59.316667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.027778,23.805556,29.805556,0.889,0,22.611111,81.700203
GY,2020-01-12,Q734,Guyana,0.0,0.0,786559,5.733333,-59.316667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.981481,23.407407,29.962963,1.27,0,22.759259,77.766544
GY,2020-01-13,Q734,Guyana,0.0,0.0,786559,5.733333,-59.316667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.472222,23.055556,30.611111,1.143,0,22.111111,77.146587
GY,2020-01-14,Q734,Guyana,0.0,0.0,786559,5.733333,-59.316667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.097222,23.25,29.652778,15.155333,0,24.055556,88.686303
GY,2020-01-15,Q734,Guyana,0.0,0.0,786559,5.733333,-59.316667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.259259,23.833333,29.62963,7.535333,0,24.259259,83.825503
GY,2020-01-16,Q734,Guyana,0.0,0.0,786559,5.733333,-59.316667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.033333,24.1,30.811111,0.762,0,23.677778,77.368889
