location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
HR,2020-01-01,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-02,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-03,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-04,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-05,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-06,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-07,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-08,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-09,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-10,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-11,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-12,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-13,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-14,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-15,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-16,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-17,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-18,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-19,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-20,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-21,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-22,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-23,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-24,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-25,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-26,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020-01-27,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
HR,2020-01-28,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
HR,2020-01-29,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
HR,2020-01-30,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
HR,2020-01-31,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
HR,2020-02-01,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
HR,2020-02-02,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
HR,2020-02-03,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11
HR,2020-02-04,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-05,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-06,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-07,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-08,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-09,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-10,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-11,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-12,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-13,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-14,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-15,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-16,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-17,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-18,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-19,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-20,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-21,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-22,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-23,Q224,Croatia,1.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-24,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-25,Q224,Croatia,2.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-26,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-27,Q224,Croatia,2.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-28,Q224,Croatia,1.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-02-29,Q224,Croatia,1.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-03-01,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-03-02,Q224,Croatia,2.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-03-03,Q224,Croatia,1.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-03-04,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-03-05,Q224,Croatia,1.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-03-06,Q224,Croatia,1.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-03-07,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-03-08,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-03-09,Q224,Croatia,2.0,0.0,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89
HR,2020-03-10,Q224,Croatia,5.0,0.0,4076246,45.25,15.466667,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,22.22
HR,2020-03-11,Q224,Croatia,0.0,0.0,4076246,45.25,15.466667,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,22.22
HR,2020-03-12,Q224,Croatia,13.0,0.0,4076246,45.25,15.466667,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,22.22
HR,2020-03-13,Q224,Croatia,6.0,0.0,4076246,45.25,15.466667,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,31.48
HR,2020-03-14,Q224,Croatia,11.0,0.0,4076246,45.25,15.466667,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,37.04
