location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
IN,2020-01-01,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-02,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-03,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-04,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-05,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-06,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-07,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-08,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-09,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-10,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-11,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-12,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-13,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-14,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-15,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-16,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-17,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-18,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-19,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-20,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-21,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2020-01-22,Q668,India,0.0,0.0,1380004385,22.8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
