location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
IR,2020-01-01,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-02,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-03,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-04,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-05,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-06,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-07,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-08,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-09,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-10,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-11,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-12,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-13,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-14,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-15,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-16,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-17,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-18,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-19,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-20,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-21,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-22,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-23,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-24,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-25,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-26,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-27,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-28,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-29,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-30,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-01-31,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-01,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-02,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-03,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-04,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-05,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-06,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-07,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-08,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-09,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-10,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-11,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-12,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-13,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-14,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-15,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-16,Q794,Iran,0.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-17,Q794,Iran,6.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-18,Q794,Iran,3.0,2.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-19,Q794,Iran,13.0,0.0,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,2020-02-20,Q794,Iran,10.0,2.0,83992953,32.0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78
IR,2020-02-21,Q794,Iran,15.0,1.0,83992953,32.0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78
IR,2020-02-22,Q794,Iran,4.0,3.0,83992953,32.0,53.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
IR,2020-02-23,Q794,Iran,48.0,4.0,83992953,32.0,53.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
IR,2020-02-24,Q794,Iran,44.0,3.0,83992953,32.0,53.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
IR,2020-02-25,Q794,Iran,0.0,7.0,83992953,32.0,53.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
IR,2020-02-26,Q794,Iran,249.0,12.0,83992953,32.0,53.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.37
IR,2020-02-27,Q794,Iran,0.0,9.0,83992953,32.0,53.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.37
IR,2020-02-28,Q794,Iran,205.0,0.0,83992953,32.0,53.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.37
IR,2020-02-29,Q794,Iran,0.0,11.0,83992953,32.0,53.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.37
IR,2020-03-01,Q794,Iran,908.0,23.0,83992953,32.0,53.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.37
IR,2020-03-02,Q794,Iran,1421.0,15.0,83992953,32.0,53.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.37
IR,2020-03-03,Q794,Iran,591.0,15.0,83992953,32.0,53.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.37
IR,2020-03-04,Q794,Iran,1234.0,17.0,83992953,32.0,53.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.37
IR,2020-03-05,Q794,Iran,1076.0,21.0,83992953,32.0,53.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,42.59
IR,2020-03-06,Q794,Iran,743.0,49.0,83992953,32.0,53.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,42.59
IR,2020-03-07,Q794,Iran,595.0,43.0,83992953,32.0,53.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,42.59
IR,2020-03-08,Q794,Iran,881.0,54.0,83992953,32.0,53.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,42.59
IR,2020-03-09,Q794,Iran,958.0,63.0,83992953,32.0,53.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,42.59
IR,2020-03-10,Q794,Iran,1075.0,75.0,83992953,32.0,53.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,42.59
IR,2020-03-11,Q794,Iran,1289.0,85.0,83992953,32.0,53.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,48.15
IR,2020-03-12,Q794,Iran,1365.0,94.0,83992953,32.0,53.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,48.15
IR,2020-03-13,Q794,Iran,1254.0,116.0,83992953,32.0,53.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,48.15
IR,2020-03-14,Q794,Iran,1008.0,129.0,83992953,32.0,53.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,48.15
IR,2020-03-15,Q794,Iran,1178.0,135.0,83992953,32.0,53.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,48.15
IR,2020-03-16,Q794,Iran,1192.0,147.0,83992953,32.0,53.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,48.15
IR,2020-03-17,Q794,Iran,1046.0,149.0,83992953,32.0,53.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,48.15
IR,2020-03-18,Q794,Iran,1233.0,149.0,83992953,32.0,53.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,48.15
IR,2020-03-19,Q794,Iran,966.0,123.0,83992953,32.0,53.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,51.85
