location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
KE,2020-01-01,Q114,Kenya,0.0,0.0,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.541667,16.513889,28.027778,0.508,0,15.25,64.711219
KE,2020-01-02,Q114,Kenya,1.0,4.0,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.95679,15.648148,26.925926,0.451556,0,15.746914,69.041824
KE,2020-01-03,Q114,Kenya,0.0,0.0,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.790123,16.617284,26.648148,1.8415,0,16.0,70.58635
KE,2020-01-04,Q114,Kenya,0.0,0.0,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.679012,16.067901,26.364198,0.366889,0,15.469136,68.767726
KE,2020-01-05,Q114,Kenya,0.0,0.0,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.537037,15.876543,28.209877,0.0,0,15.617284,65.897373
KE,2020-01-06,Q114,Kenya,0.0,0.0,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.759259,17.944444,27.759259,1.919111,0,17.339506,72.33082
KE,2020-01-07,Q114,Kenya,0.0,0.0,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.95679,17.246914,26.030864,4.7625,0,17.604938,77.32796
KE,2020-01-08,Q114,Kenya,0.0,0.0,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.512346,17.555556,26.037037,3.132667,0,17.179012,76.996162
KE,2020-01-09,Q114,Kenya,0.0,0.0,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.697531,15.783951,26.703704,0.931333,0,17.098765,76.490596
KE,2020-01-10,Q114,Kenya,0.0,0.0,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.314815,16.364198,27.919753,0.112889,0,16.487654,70.481495
KE,2020-01-11,Q114,Kenya,0.0,0.0,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.798611,14.888889,26.715278,0.508,0,15.354167,76.363423
KE,2020-01-12,Q114,Kenya,0.0,0.0,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.91358,16.95679,27.808642,7.817556,0,16.938272,70.038734
KE,2020-01-13,Q114,Kenya,0.0,0.0,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.04321,17.037037,25.333333,27.121556,0,17.296296,80.048725
KE,2020-01-14,Q114,Kenya,0.0,0.0,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.993827,17.290123,26.765432,8.297333,0,17.469136,76.331893
KE,2020-01-15,Q114,Kenya,0.0,0.0,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.283951,17.160494,27.024691,0.479778,0,16.679012,71.57005
KE,2020-01-16,Q114,Kenya,0.0,0.0,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.364198,16.660494,26.783951,0.112889,0,15.907407,69.390842
KE,2020-01-17,Q114,Kenya,0.0,0.0,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.555556,16.808642,27.253086,0.903111,0,15.401235,67.305396
KE,2020-01-18,Q114,Kenya,0.0,0.0,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.703704,16.469136,28.061728,0.0,0,14.82716,64.085196
KE,2020-01-19,Q114,Kenya,0.0,0.0,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.537037,15.932099,27.944444,0.0,0,15.308642,65.450238
