location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
KG,2020-01-01,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-02,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-03,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-04,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-05,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-06,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-07,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-08,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-09,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-10,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-11,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-12,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-13,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-14,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-15,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-16,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-17,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-18,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-19,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-20,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-21,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG,2020-01-22,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78
KG,2020-01-23,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78
KG,2020-01-24,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78
KG,2020-01-25,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78
KG,2020-01-26,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78
KG,2020-01-27,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78
KG,2020-01-28,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.11
KG,2020-01-29,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.11
KG,2020-01-30,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.11
KG,2020-01-31,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.11
KG,2020-02-01,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-02,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-03,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-04,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-05,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-06,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-07,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-08,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-09,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-10,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-11,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-12,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-13,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-14,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-15,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-16,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-17,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-18,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-19,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-20,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-21,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-22,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-23,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-24,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-25,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-26,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
KG,2020-02-27,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,19.44
KG,2020-02-28,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,19.44
KG,2020-02-29,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,19.44
KG,2020-03-01,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,22.22
KG,2020-03-02,Q813,Kyrgyzstan,0.0,0.0,6524191,41.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,22.22
