location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
KR,2020-01-01,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-02,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-03,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-04,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-05,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-06,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-07,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-08,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-09,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-10,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-11,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-12,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-13,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-14,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-15,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-16,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-17,Q884,South Korea,1.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-18,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-19,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-20,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-21,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-22,Q884,South Korea,1.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-23,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-24,Q884,South Korea,1.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-25,Q884,South Korea,1.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-26,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-27,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-28,Q884,South Korea,3.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-01-29,Q884,South Korea,4.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
KR,2020-01-30,Q884,South Korea,1.0,0.0,51269183,36.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
KR,2020-01-31,Q884,South Korea,3.0,0.0,51269183,36.0,128.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.78
KR,2020-02-01,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.89
KR,2020-02-02,Q884,South Korea,1.0,0.0,51269183,36.0,128.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.89
KR,2020-02-03,Q884,South Korea,5.0,0.0,51269183,36.0,128.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,23.15
KR,2020-02-04,Q884,South Korea,3.0,0.0,51269183,36.0,128.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,31.48
KR,2020-02-05,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,31.48
KR,2020-02-06,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,31.48
KR,2020-02-07,Q884,South Korea,3.0,0.0,51269183,36.0,128.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,31.48
KR,2020-02-08,Q884,South Korea,1.0,0.0,51269183,36.0,128.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,31.48
KR,2020-02-09,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,31.48
KR,2020-02-10,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,31.48
KR,2020-02-11,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,31.48
KR,2020-02-12,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,31.48
KR,2020-02-13,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,31.48
KR,2020-02-14,Q884,South Korea,2.0,0.0,51269183,36.0,128.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,31.48
KR,2020-02-15,Q884,South Korea,0.0,0.0,51269183,36.0,128.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,31.48
KR,2020-02-16,Q884,South Korea,2.0,0.0,51269183,36.0,128.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,31.48
KR,2020-02-17,Q884,South Korea,34.0,0.0,51269183,36.0,128.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,31.48
KR,2020-02-18,Q884,South Korea,16.0,1.0,51269183,36.0,128.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,31.48
KR,2020-02-19,Q884,South Korea,74.0,0.0,51269183,36.0,128.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,31.48
KR,2020-02-20,Q884,South Korea,190.0,2.0,51269183,36.0,128.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,31.48
KR,2020-02-21,Q884,South Korea,210.0,0.0,51269183,36.0,128.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,45.37
KR,2020-02-22,Q884,South Korea,207.0,4.0,51269183,36.0,128.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,45.37
KR,2020-02-23,Q884,South Korea,130.0,1.0,51269183,36.0,128.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,3.0,2.0,50.0
KR,2020-02-24,Q884,South Korea,253.0,3.0,51269183,36.0,128.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,2.0,55.56
KR,2020-02-25,Q884,South Korea,449.0,1.0,51269183,36.0,128.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,2.0,55.56
KR,2020-02-26,Q884,South Korea,427.0,1.0,51269183,36.0,128.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,2.0,55.56
KR,2020-02-27,Q884,South Korea,909.0,3.0,51269183,36.0,128.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,2.0,55.56
