location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
LY,2020-01-01,Q1016,Libya,0.0,0.0,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.611111,5.0,14.111111,0.254,0,1.944444,58.826162
LY,2020-01-02,Q1016,Libya,0.0,0.0,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.944444,5.388889,15.5,0.254,0,4.833333,61.757872
LY,2020-01-03,Q1016,Libya,0.0,0.0,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
LY,2020-01-04,Q1016,Libya,0.0,0.0,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
LY,2020-01-05,Q1016,Libya,0.0,0.0,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.111111,9.0,17.5,0.0,0,-0.333333,37.106642
LY,2020-01-06,Q1016,Libya,0.0,0.0,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.166667,6.5,15.722222,0.0,0,3.222222,50.908091
LY,2020-01-07,Q1016,Libya,0.0,0.0,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
LY,2020-01-08,Q1016,Libya,0.0,0.0,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.222222,3.5,15.5,0.0,0,1.666667,51.795724
LY,2020-01-09,Q1016,Libya,0.0,0.0,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.5,17.0,0.0,0,4.388889,52.343867
LY,2020-01-10,Q1016,Libya,0.0,0.0,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.166667,12.222222,17.388889,0.0,0,5.277778,51.650946
LY,2020-01-11,Q1016,Libya,0.0,0.0,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.111111,8.0,17.0,0.0,0,2.388889,48.162796
LY,2020-01-12,Q1016,Libya,0.0,0.0,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.222222,5.0,21.5,0.0,0,2.0,40.861566
LY,2020-01-13,Q1016,Libya,0.0,0.0,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.777778,7.277778,14.5,0.0,0,2.388889,52.567034
LY,2020-01-14,Q1016,Libya,0.0,0.0,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.222222,8.5,12.888889,7.112,0,7.277778,81.95893
LY,2020-01-15,Q1016,Libya,0.0,0.0,6871287,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
