location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
MG,2020-01-01,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.925926,19.611111,31.62963,35.306,0,19.25,79.943439
MG,2020-01-02,Q1019,Madagascar,1.0,1.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.481481,20.962963,31.296296,23.283333,0,19.111111,83.709603
MG,2020-01-03,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.037037,20.481481,29.592593,20.658667,0,19.5,89.609637
MG,2020-01-04,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.037037,19.611111,29.796296,31.242,0,18.694444,83.644699
MG,2020-01-05,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,19.703704,29.574074,0.931333,0,18.166667,76.748828
MG,2020-01-06,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.074074,19.62963,30.0,0.0,0,18.111111,74.383993
MG,2020-01-07,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.37037,19.666667,31.12963,23.706667,0,18.666667,81.40147
MG,2020-01-08,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.111111,19.333333,29.37037,44.026667,0,18.805556,88.288034
MG,2020-01-09,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.388889,19.759259,29.333333,0.169333,0,18.138889,77.75072
MG,2020-01-10,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.944444,19.407407,29.740741,0.254,0,17.75,74.579441
MG,2020-01-11,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.916667,19.861111,30.75,0.0,0,14.166667,65.430583
MG,2020-01-12,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.166667,21.203704,30.444444,0.0,0,18.0,73.838739
MG,2020-01-13,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.388889,19.574074,30.074074,7.450667,0,18.666667,81.435988
MG,2020-01-14,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.481481,19.0,29.87037,11.091333,0,17.777778,75.129117
MG,2020-01-15,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.759259,19.5,30.407407,2.624667,0,18.777778,79.160398
MG,2020-01-16,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.814815,20.833333,30.240741,6.688667,0,19.611111,84.075995
MG,2020-01-17,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.722222,20.703704,30.166667,7.704667,0,19.111111,81.318788
MG,2020-01-18,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.462963,21.407407,30.5,1.693333,0,20.111111,84.647951
MG,2020-01-19,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.703704,21.166667,29.185185,18.034,0,20.611111,87.298537
MG,2020-01-20,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,21.666667,28.425926,16.933333,0,20.333333,88.470431
MG,2020-01-21,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.314815,19.888889,28.296296,23.622,0,18.694444,93.315538
MG,2020-01-22,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.537037,19.148148,25.240741,11.684,0,17.416667,93.254599
MG,2020-01-23,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.259259,19.203704,25.537037,10.668,0,18.25,95.250977
MG,2020-01-24,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.851852,20.074074,28.574074,7.704667,0,18.583333,85.454759
MG,2020-01-25,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.074074,20.425926,28.203704,0.0,0,17.388889,84.938138
MG,2020-01-26,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.685185,19.0,27.462963,2.370667,0,16.527778,79.603354
MG,2020-01-27,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.296296,18.962963,29.333333,0.338667,0,17.916667,83.907048
MG,2020-01-28,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.87037,20.185185,31.314815,7.704667,0,19.25,80.787556
MG,2020-01-29,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.166667,20.777778,32.166667,3.302,0,20.111111,81.187218
MG,2020-01-30,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.87037,20.296296,30.333333,3.302,0,19.277778,79.326498
MG,2020-01-31,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.277778,19.537037,29.814815,1.354667,0,17.555556,77.190642
MG,2020-02-01,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.388889,18.425926,28.796296,3.640667,0,16.75,77.896859
MG,2020-02-02,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.333333,18.666667,29.0,0.084667,0,17.166667,83.639081
MG,2020-02-03,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.925926,18.5,29.166667,0.508,0,17.083333,79.183385
MG,2020-02-04,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.759259,19.166667,28.666667,0.169333,0,18.555556,88.358049
MG,2020-02-05,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.037037,18.740741,29.259259,4.656667,0,17.75,79.307379
MG,2020-02-06,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.592593,19.666667,29.537037,0.338667,0,17.388889,75.691448
MG,2020-02-07,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.648148,19.333333,30.833333,0.0,0,17.472222,70.006208
MG,2020-02-08,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.814815,18.333333,30.925926,0.084667,0,16.805556,71.377594
MG,2020-02-09,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.018519,20.12963,31.12963,0.0,0,17.666667,76.506531
MG,2020-02-10,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.166667,20.62963,31.037037,0.0,0,16.444444,69.122075
MG,2020-02-11,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.296296,18.981481,30.833333,0.0,0,15.527778,67.763687
MG,2020-02-12,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.240741,18.462963,30.833333,0.0,0,16.527778,69.12798
MG,2020-02-13,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.611111,19.611111,30.240741,1.016,0,18.361111,81.521276
MG,2020-02-14,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.648148,20.703704,28.925926,2.032,0,18.472222,82.161481
MG,2020-02-15,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,21.0,29.203704,3.979333,0,18.972222,84.380624
MG,2020-02-16,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.277778,20.074074,29.611111,13.377333,0,18.888889,92.728635
MG,2020-02-17,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.444444,19.703704,28.240741,13.292667,0,18.777778,87.391649
MG,2020-02-18,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.037037,20.259259,29.296296,0.0,0,19.083333,85.525612
MG,2020-02-19,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.444444,19.740741,29.796296,1.016,0,19.361111,83.302134
MG,2020-02-20,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.388889,19.703704,29.703704,13.377333,0,18.888889,89.997717
MG,2020-02-21,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.833333,19.740741,29.648148,2.032,0,19.388889,88.471932
MG,2020-02-22,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.277778,19.277778,29.5,32.681333,0,18.888889,90.716633
MG,2020-02-23,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.055556,19.648148,29.240741,14.732,0,19.194444,87.33439
MG,2020-02-24,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.833333,20.666667,30.333333,19.304,0,19.333333,83.335407
MG,2020-02-25,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.648148,21.759259,29.962963,0.084667,0,19.055556,85.752755
MG,2020-02-26,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.296296,20.092593,28.074074,2.116667,0,17.222222,84.249992
MG,2020-02-27,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.185185,19.907407,29.240741,0.169333,0,17.138889,79.649241
MG,2020-02-28,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.222222,20.333333,31.740741,10.329333,0,16.944444,70.861791
MG,2020-02-29,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.740741,19.740741,31.648148,4.995333,0,16.972222,68.81065
MG,2020-03-01,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.425926,21.240741,31.0,6.858,0,17.833333,77.48565
MG,2020-03-02,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.87037,19.240741,30.074074,12.361333,0,17.75,80.109424
MG,2020-03-03,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.518519,20.5,29.574074,0.508,0,18.055556,80.809963
MG,2020-03-04,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.481481,20.574074,29.333333,0.677333,0,18.083333,80.830752
MG,2020-03-05,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.851852,20.074074,29.259259,0.338667,0,17.166667,81.430977
MG,2020-03-06,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.37037,17.574074,30.425926,0.084667,0,16.861111,75.367739
MG,2020-03-07,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.092593,19.407407,31.351852,3.640667,0,19.666667,85.315835
MG,2020-03-08,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.037037,21.62963,29.166667,3.386667,0,18.583333,85.971714
MG,2020-03-09,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.981481,18.166667,29.666667,1.016,0,18.138889,81.680768
MG,2020-03-10,Q1019,Madagascar,0.0,0.0,27691019,-20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.407407,19.907407,29.259259,0.677333,0,18.388889,83.177461
