location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
MH,2020-01-01,Q709,Marshall Islands,,,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,28.0,27.0,30.222222,11.176,0,26.388889,90.982318
MH,2020-01-02,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,29.055556,27.888889,30.722222,0.254,0,25.277778,80.119383
MH,2020-01-03,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,28.527778,25.0,30.444444,0.254,0,24.944444,81.023987
MH,2020-01-04,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,29.166667,27.777778,31.0,0.762,0,24.944444,78.040987
MH,2020-01-05,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,28.472222,26.055556,30.444444,1.524,0,25.888889,86.130775
MH,2020-01-06,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,28.5,27.277778,29.722222,2.794,0,26.5,88.95387
MH,2020-01-07,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,27.777778,25.722222,31.0,4.572,0,26.5,92.775942
MH,2020-01-08,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,28.888889,27.777778,30.888889,15.494,0,24.5,77.227482
MH,2020-01-09,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,28.944444,28.0,30.5,0.254,0,24.666667,77.75056
MH,2020-01-10,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,28.833333,28.111111,30.222222,0.0,0,24.611111,77.993152
MH,2020-01-11,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,28.666667,27.388889,30.388889,0.0,0,24.055556,76.172225
MH,2020-01-12,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,28.277778,26.722222,30.611111,0.0,0,23.444444,75.099659
MH,2020-01-13,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,28.333333,26.611111,30.222222,0.0,0,24.166667,78.181321
MH,2020-01-14,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,28.055556,26.5,29.888889,0.762,0,24.611111,81.599625
MH,2020-01-15,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,27.888889,24.972222,29.138889,0.0,0,23.75,78.298068
MH,2020-01-16,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,28.055556,26.777778,29.888889,0.0,0,22.555556,72.093244
MH,2020-01-17,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,28.611111,26.222222,31.0,0.0,0,25.611111,83.854478
MH,2020-01-18,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,29.25,25.25,31.916667,2.413,0,25.666667,81.075639
MH,2020-01-19,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,29.111111,27.722222,31.5,0.0,0,25.277778,79.862318
MH,2020-01-20,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,28.5,26.222222,30.888889,0.254,0,25.611111,84.397288
MH,2020-01-21,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,28.777778,27.611111,30.777778,0.0,0,26.111111,85.544329
MH,2020-01-22,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,28.777778,25.638889,31.0,2.667,0,26.138889,85.702011
MH,2020-01-23,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,28.222222,26.888889,29.777778,2.794,0,25.555556,85.48931
MH,2020-01-24,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,28.111111,27.0,29.555556,0.0,0,23.944444,78.186184
MH,2020-01-25,Q709,Marshall Islands,0.0,0.0,59194,9.82,169.29,0,0,0,0,0,0,0,0,0,0,27.944444,25.25,29.555556,0.381,0,24.916667,83.650713
