location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
MM,2020-01-01,Q836,Myanmar,0.0,0.0,54409794,22.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,2020-01-02,Q836,Myanmar,0.0,0.0,54409794,22.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,2020-01-03,Q836,Myanmar,0.0,0.0,54409794,22.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,2020-01-04,Q836,Myanmar,0.0,0.0,54409794,22.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,2020-01-05,Q836,Myanmar,0.0,0.0,54409794,22.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,2020-01-06,Q836,Myanmar,0.0,0.0,54409794,22.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,2020-01-07,Q836,Myanmar,0.0,0.0,54409794,22.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,2020-01-08,Q836,Myanmar,0.0,0.0,54409794,22.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,2020-01-09,Q836,Myanmar,0.0,0.0,54409794,22.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,2020-01-10,Q836,Myanmar,0.0,0.0,54409794,22.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,2020-01-11,Q836,Myanmar,0.0,0.0,54409794,22.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,2020-01-12,Q836,Myanmar,0.0,0.0,54409794,22.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,2020-01-13,Q836,Myanmar,0.0,0.0,54409794,22.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,2020-01-14,Q836,Myanmar,0.0,0.0,54409794,22.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,2020-01-15,Q836,Myanmar,0.0,0.0,54409794,22.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,2020-01-16,Q836,Myanmar,0.0,0.0,54409794,22.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
