location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
MU,2020-01-01,Q1027,Mauritius,0.0,0.0,1271767,-20.2,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.847222,22.888889,30.055556,6.858,0,23.611111,87.767006
MU,2020-01-02,Q1027,Mauritius,3.0,1.0,1271767,-20.2,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.277778,23.319444,29.486111,1.016,0,23.263889,83.76503
MU,2020-01-03,Q1027,Mauritius,0.0,0.0,1271767,-20.2,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.958333,23.138889,28.138889,1.693333,0,22.703704,91.251406
MU,2020-01-04,Q1027,Mauritius,0.0,0.0,1271767,-20.2,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.652778,16.5,28.125,9.398,0,22.814815,89.484169
MU,2020-01-05,Q1027,Mauritius,0.0,0.0,1271767,-20.2,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.930556,16.37037,27.472222,26.416,0,22.481481,92.296981
MU,2020-01-06,Q1027,Mauritius,0.0,0.0,1271767,-20.2,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.791667,19.125,30.097222,51.7525,0,23.083333,85.220318
MU,2020-01-07,Q1027,Mauritius,0.0,0.0,1271767,-20.2,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.902778,23.513889,30.277778,9.525,0,23.652778,82.487339
MU,2020-01-08,Q1027,Mauritius,0.0,0.0,1271767,-20.2,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.263889,23.694444,29.875,1.143,0,22.916667,81.937053
MU,2020-01-09,Q1027,Mauritius,0.0,0.0,1271767,-20.2,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.541667,22.388889,29.0,0.762,0,20.513889,73.80188
MU,2020-01-10,Q1027,Mauritius,0.0,0.0,1271767,-20.2,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.027778,20.555556,29.0,0.0,0,19.75,72.620025
