location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
MW,2020-01-01,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.277778,22.0,23.0,0.0,0,19.222222,82.852963
MW,2020-01-02,Q1020,Malawi,3.0,1.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
MW,2020-01-03,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.888889,18.0,25.0,,0,19.111111,89.577671
MW,2020-01-04,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.388889,19.0,26.0,0.0,0,18.833333,85.377678
MW,2020-01-05,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,23.0,,0,17.0,82.87193
MW,2020-01-06,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.833333,19.0,25.0,0.0,0,18.666667,82.22717
MW,2020-01-07,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
MW,2020-01-08,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.777778,18.0,25.0,0.0,0,17.722222,82.674385
MW,2020-01-09,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.944444,19.0,23.0,,0,18.444444,85.629562
MW,2020-01-10,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
MW,2020-01-11,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.833333,16.888889,23.0,,0,18.222222,85.023643
MW,2020-01-12,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.277778,18.0,27.0,,0,18.555556,89.84367
MW,2020-01-13,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.111111,18.0,24.0,,0,18.111111,88.279379
MW,2020-01-14,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.777778,18.0,24.0,,0,18.722222,93.638895
MW,2020-01-15,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.666667,17.0,20.0,,0,18.0,95.905996
MW,2020-01-16,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.222222,16.111111,24.0,10.922,0,18.666667,85.360567
MW,2020-01-17,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,20.888889,28.0,0.0,0,19.166667,81.458652
MW,2020-01-18,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,18.0,23.0,,0,18.555556,85.933561
MW,2020-01-19,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,20.0,,0,18.666667,97.939418
MW,2020-01-20,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.222222,22.0,24.0,0.0,0,19.777778,80.990019
MW,2020-01-21,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,19.0,23.0,0.0,0,18.833333,87.439207
MW,2020-01-22,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
MW,2020-01-23,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.333333,16.0,22.0,0.0,0,14.0,71.265731
MW,2020-01-24,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
MW,2020-01-25,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
MW,2020-01-26,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.777778,18.0,24.0,0.0,0,18.388889,81.084113
MW,2020-01-27,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
MW,2020-01-28,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,22.0,,0,19.0,93.974509
MW,2020-01-29,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
MW,2020-01-30,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.277778,21.0,23.0,0.0,0,20.0,86.952571
MW,2020-01-31,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
MW,2020-02-01,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
MW,2020-02-02,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.833333,18.0,25.0,0.0,0,17.833333,82.970736
MW,2020-02-03,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,19.0,31.0,,0,18.722222,89.548458
MW,2020-02-04,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
MW,2020-02-05,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
MW,2020-02-06,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
MW,2020-02-07,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.222222,17.0,23.0,0.0,0,18.888889,92.051008
MW,2020-02-08,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
MW,2020-02-09,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,17.388889,26.0,0.0,0,18.5,71.36732
MW,2020-02-10,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.722222,18.0,24.0,0.0,0,18.5,81.928115
MW,2020-02-11,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,,,,,0,,
MW,2020-02-12,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,18.666667,18.0,20.0,,0,17.888889,95.238168
MW,2020-02-13,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,18.666667,16.0,20.0,18.034,0,17.722222,94.244084
MW,2020-02-14,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,18.888889,18.0,20.0,0.0,0,18.0,94.583391
MW,2020-02-15,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,,,,,0,,
MW,2020-02-16,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,,,,,0,,
MW,2020-02-17,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,22.0,20.0,25.0,0.0,0,18.722222,81.678434
MW,2020-02-18,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,22.388889,21.0,23.0,,0,18.777778,80.044511
MW,2020-02-19,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,19.5,18.0,23.0,0.0,0,18.222222,92.330316
MW,2020-02-20,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,19.555556,18.0,21.0,,0,18.277778,92.33344
MW,2020-02-21,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,23.777778,20.0,26.0,0.0,0,19.111111,75.142031
MW,2020-02-22,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,22.833333,18.222222,26.0,0.0,0,19.222222,80.10446
MW,2020-02-23,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,25.5,23.0,28.0,0.0,0,19.333333,68.735016
MW,2020-02-24,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,23.333333,18.222222,26.0,0.0,0,20.222222,82.692675
MW,2020-02-25,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,19.555556,18.0,24.5,1.016,0,18.111111,91.372527
MW,2020-02-26,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,18.055556,16.611111,21.0,,0,16.611111,91.277315
MW,2020-02-27,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,21.444444,17.0,32.0,0.0,0,17.833333,79.916259
MW,2020-02-28,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,,,,,0,,
MW,2020-02-29,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,,,,,0,,
MW,2020-03-01,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,,,,,0,,
MW,2020-03-02,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,,,,,0,,
MW,2020-03-03,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,19.5,14.722222,24.0,0.0,0,17.166667,86.389109
MW,2020-03-04,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,17.833333,17.0,18.0,,0,16.833333,93.876958
MW,2020-03-05,Q1020,Malawi,0.0,0.0,19129955,-13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,,,,,0,,
