location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
PH,2020-01-01,Q928,Philippines,,,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.518519,24.376543,31.253086,4.967111,0,24.141975,81.961073
PH,2020-01-02,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.833333,24.197531,31.339506,8.692444,0,24.222222,80.86189
PH,2020-01-03,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.253086,24.012346,29.567901,7.112,0,23.932099,87.213916
PH,2020-01-04,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.555556,23.41358,29.95679,15.889111,0,23.734568,84.622766
PH,2020-01-05,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.265432,23.481481,28.932099,9.115778,0,23.82716,86.713872
PH,2020-01-06,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.654321,24.024691,29.685185,23.057556,0,24.203704,86.672197
PH,2020-01-07,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.240741,23.685185,29.753086,24.666222,0,23.648148,85.932608
PH,2020-01-08,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.018519,23.364198,30.654321,9.539111,0,23.882716,83.191166
PH,2020-01-09,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.228395,23.814815,30.722222,2.652889,0,23.388889,79.744353
PH,2020-01-10,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.080247,23.265432,31.08642,0.056444,0,23.481481,80.847173
PH,2020-01-11,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.376543,23.012346,30.234568,0.366889,0,23.604938,80.0603
PH,2020-01-12,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.135802,23.08642,29.919753,1.721556,0,23.475309,85.38951
PH,2020-01-13,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.049383,23.259259,30.425926,0.056444,0,23.716049,82.144249
PH,2020-01-14,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.135802,23.635802,30.438272,4.882444,0,24.117284,83.734095
PH,2020-01-15,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.882716,24.314815,29.734568,8.28675,0,24.388889,86.345173
PH,2020-01-16,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.925926,24.117284,30.228395,7.140222,0,24.67284,87.599539
PH,2020-01-17,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.265432,24.012346,30.95679,9.680222,0,24.530864,85.200349
PH,2020-01-18,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.104938,23.907407,31.049383,4.797778,0,24.333333,84.969554
PH,2020-01-19,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.12963,23.783951,28.722222,11.712222,0,23.790123,87.087974
PH,2020-01-20,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.753086,23.407407,30.290123,5.842,0,22.462963,77.512173
PH,2020-01-21,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.833333,23.179012,30.555556,1.467556,0,21.469136,72.655944
PH,2020-01-22,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.135802,23.734568,30.969136,0.677333,0,22.395062,75.480118
PH,2020-01-23,Q928,Philippines,1.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.32716,23.716049,30.858025,0.381,0,23.074074,77.716608
PH,2020-01-24,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,26.580247,23.771605,29.851852,6.237111,0,24.320988,87.593304
PH,2020-01-25,Q928,Philippines,0.0,0.0,100979303,12.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,26.623457,24.333333,30.246914,18.767778,0,24.290123,87.236091
