location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
SG,2020-01-01,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.56,27.816667,25.4,31.444444,0.4064,0,23.622222,78.160465
SG,2020-01-02,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.44,27.483333,25.116667,30.522222,1.213556,0,24.072222,81.775103
SG,2020-01-03,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.44,27.627778,25.266667,31.172222,0.79375,0,24.255556,82.004853
SG,2020-01-04,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.44,27.2,24.7,30.883333,1.68275,0,23.8,81.865993
SG,2020-01-05,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.44,27.744444,24.811111,31.872222,0.4318,0,23.477778,77.721261
SG,2020-01-06,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.44,26.255556,23.594444,31.3,1.705429,0,23.15,83.324851
SG,2020-01-07,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.44,26.7,24.1,30.166667,7.8105,0,23.788889,84.325388
SG,2020-01-08,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.44,27.794444,24.938889,31.205556,3.01625,0,24.066667,80.305185
SG,2020-01-09,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.44,27.733333,25.533333,31.455556,0.53975,0,23.888889,79.751824
SG,2020-01-10,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.44,27.222222,24.638889,30.622222,0.15875,0,23.916667,82.270076
SG,2020-01-11,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.44,27.372222,24.311111,30.572222,2.413,0,23.855556,81.283595
SG,2020-01-12,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.44,27.15,23.9,31.811111,5.221111,0,23.461111,80.433193
SG,2020-01-13,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.44,27.82716,24.253086,31.858025,0.0,0,23.154321,75.854276
SG,2020-01-14,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.44,27.666667,24.633333,31.377778,0.028222,0,23.327778,77.383848
SG,2020-01-15,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.44,27.616667,25.066667,31.288889,0.381,0,23.327778,77.72398
SG,2020-01-16,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.44,27.383333,24.822222,31.3,1.0922,0,23.766667,80.854469
SG,2020-01-17,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.44,28.105556,24.916667,32.361111,0.0,0,23.944444,78.363746
SG,2020-01-18,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.44,28.122222,25.072222,32.0,0.0,0,24.611111,81.452063
SG,2020-01-19,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.44,28.333333,25.494444,32.127778,0.028222,0,24.527778,79.995793
SG,2020-01-20,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,19.44,27.894444,24.633333,32.188889,0.362857,0,24.416667,81.51659
SG,2020-01-21,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,19.44,26.966667,24.933333,29.344444,4.717143,0,24.427778,86.133212
SG,2020-01-22,Q334,Singapore,1.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,19.44,28.188889,25.077778,32.011111,4.2418,0,24.194444,79.091541
SG,2020-01-23,Q334,Singapore,2.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,25.0,28.016667,25.238889,32.011111,0.2032,0,24.033333,79.104763
SG,2020-01-24,Q334,Singapore,1.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,25.0,27.794444,24.594444,31.922222,0.0,0,22.822222,74.501923
SG,2020-01-25,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,25.0,27.822222,24.061111,32.511111,0.0,0,23.133333,75.828561
SG,2020-01-26,Q334,Singapore,1.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,25.0,28.188889,24.422222,32.544444,0.987778,0,23.816667,77.405611
SG,2020-01-27,Q334,Singapore,2.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,25.0,27.894444,24.505556,32.161111,0.719667,0,24.422222,81.5153
SG,2020-01-28,Q334,Singapore,3.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,25.0,28.338889,25.416667,32.85,6.378222,0,24.677778,80.704672
SG,2020-01-29,Q334,Singapore,3.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,25.0,26.311111,23.566667,30.922222,10.813143,0,23.861111,86.52022
SG,2020-01-30,Q334,Singapore,3.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,25.0,27.772222,23.583333,31.588889,8.3312,0,23.644444,78.351957
SG,2020-01-31,Q334,Singapore,2.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,25.0,28.15,24.738889,32.005556,0.0635,0,23.455556,75.820121
SG,2020-02-01,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,25.0,28.011111,25.288889,31.494444,1.052286,0,24.1,79.510585
SG,2020-02-02,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,25.0,27.366667,25.066667,31.1,2.0828,0,23.338889,78.853957
SG,2020-02-03,Q334,Singapore,6.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,25.0,27.738889,24.577778,31.833333,0.0,0,22.855556,74.969608
SG,2020-02-04,Q334,Singapore,4.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,25.0,27.6,24.372222,31.466667,0.0,0,22.677778,74.78105
SG,2020-02-05,Q334,Singapore,2.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,25.0,27.988889,24.461111,32.255556,0.0,0,23.416667,76.468267
SG,2020-02-06,Q334,Singapore,3.0,0.0,5850343,1.3,103.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,25.0,28.127778,25.194444,32.255556,0.0,0,23.722222,77.266914
SG,2020-02-07,Q334,Singapore,7.0,0.0,5850343,1.3,103.8,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,30.56,27.722222,24.672222,31.694444,0.0,0,22.977778,75.679269
SG,2020-02-08,Q334,Singapore,3.0,0.0,5850343,1.3,103.8,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,30.56,27.588889,24.355556,31.566667,0.0,0,22.827778,75.686852
SG,2020-02-09,Q334,Singapore,2.0,0.0,5850343,1.3,103.8,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,30.56,26.105556,23.516667,29.927778,5.987143,0,23.85,87.734942
SG,2020-02-10,Q334,Singapore,2.0,0.0,5850343,1.3,103.8,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,30.56,27.25,24.377778,30.888889,21.956889,0,24.394444,84.618727
SG,2020-02-11,Q334,Singapore,3.0,0.0,5850343,1.3,103.8,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,30.56,27.122222,24.183333,30.555556,4.995333,0,24.933333,87.922016
SG,2020-02-12,Q334,Singapore,8.0,0.0,5850343,1.3,103.8,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,30.56,27.9,25.177778,31.522222,4.934857,0,25.077778,84.759633
SG,2020-02-13,Q334,Singapore,9.0,0.0,5850343,1.3,103.8,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,30.56,28.094444,25.216667,32.205556,0.4572,0,24.633333,81.657126
SG,2020-02-14,Q334,Singapore,5.0,0.0,5850343,1.3,103.8,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,30.56,27.938889,24.372222,32.333333,0.0,0,24.372222,81.163948
SG,2020-02-15,Q334,Singapore,3.0,0.0,5850343,1.3,103.8,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,30.56,28.506173,24.308642,32.808642,0.0,0,23.962963,76.666319
SG,2020-02-16,Q334,Singapore,2.0,0.0,5850343,1.3,103.8,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,30.56,27.733333,24.572222,31.972222,2.63525,0,24.444444,82.488927
SG,2020-02-17,Q334,Singapore,4.0,0.0,5850343,1.3,103.8,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,30.56,28.272222,24.116667,33.094444,0.85725,0,24.111111,78.489824
SG,2020-02-18,Q334,Singapore,3.0,0.0,5850343,1.3,103.8,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,30.56,26.688889,23.627778,29.988889,7.366,0,23.616667,83.539348
SG,2020-02-19,Q334,Singapore,1.0,0.0,5850343,1.3,103.8,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,30.56,28.05,24.455556,31.805556,8.382,0,23.972222,78.784923
SG,2020-02-20,Q334,Singapore,1.0,0.0,5850343,1.3,103.8,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,30.56,27.761111,24.477778,31.627778,0.53975,0,24.055556,80.55464
SG,2020-02-21,Q334,Singapore,3.0,0.0,5850343,1.3,103.8,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,30.56,27.372222,24.377778,30.644444,5.672667,0,24.272222,83.389905
SG,2020-02-22,Q334,Singapore,0.0,0.0,5850343,1.3,103.8,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,30.56,28.061111,24.961111,31.583333,4.854222,0,23.7,77.38038
