location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
SK,2020-01-01,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-02,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-03,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-04,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-05,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-06,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-07,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-08,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-09,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-10,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-11,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-12,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-13,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-14,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-15,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-16,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-17,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-18,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-19,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-20,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-21,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-22,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-23,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-24,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-25,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-26,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SK,2020-01-27,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.78
SK,2020-01-28,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.78
SK,2020-01-29,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.78
SK,2020-01-30,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.78
SK,2020-01-31,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.78
SK,2020-02-01,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.78
SK,2020-02-02,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.78
SK,2020-02-03,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.78
SK,2020-02-04,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.78
SK,2020-02-05,Q214,Slovakia,0.0,0.0,5450421,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.78
