location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
SN,2020-01-01,Q1041,Senegal,0.0,0.0,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.544444,17.277778,32.8,0.0,0,5.144444,31.707838
SN,2020-01-02,Q1041,Senegal,1.0,137.0,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.092593,16.861111,32.731481,0.0,0,4.981481,30.102759
SN,2020-01-03,Q1041,Senegal,0.0,0.0,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.444444,18.188889,31.644444,0.0,0,5.577778,32.696066
SN,2020-01-04,Q1041,Senegal,0.0,0.0,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.855556,19.144444,31.477778,0.0,0,5.033333,31.248642
SN,2020-01-05,Q1041,Senegal,0.0,0.0,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.444444,15.2,31.4,0.0,0,1.622222,24.938475
SN,2020-01-06,Q1041,Senegal,0.0,0.0,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.055556,14.722222,31.0,0.0,0,1.366667,24.848442
SN,2020-01-07,Q1041,Senegal,0.0,0.0,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.377778,14.911111,30.6,0.0,0,1.844444,27.088459
SN,2020-01-08,Q1041,Senegal,0.0,0.0,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.566667,13.6,31.2,0.0,0,1.3,25.638144
SN,2020-01-09,Q1041,Senegal,0.0,0.0,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.444444,17.0,31.222222,0.0,0,0.844444,22.336434
SN,2020-01-10,Q1041,Senegal,0.0,0.0,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.777778,16.1,31.355556,0.0,0,0.3,21.557699
SN,2020-01-11,Q1041,Senegal,0.0,0.0,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.444444,16.2,33.4,0.0,0,2.377778,25.489378
SN,2020-01-12,Q1041,Senegal,0.0,0.0,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.811111,17.4,33.444444,0.0,0,2.644444,23.790343
SN,2020-01-13,Q1041,Senegal,0.0,0.0,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.255556,17.4,33.4,0.0,0,0.844444,21.353534
SN,2020-01-14,Q1041,Senegal,0.0,0.0,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.933333,17.477778,32.088889,0.0,0,1.477778,23.937351
SN,2020-01-15,Q1041,Senegal,0.0,0.0,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.166667,17.822222,33.6,0.0,0,2.944444,24.491518
SN,2020-01-16,Q1041,Senegal,0.0,0.0,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.211111,16.244444,34.822222,0.0,0,1.888889,21.748207
SN,2020-01-17,Q1041,Senegal,0.0,0.0,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.122222,17.177778,34.044444,0.0,0,2.477778,24.973344
SN,2020-01-18,Q1041,Senegal,0.0,0.0,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.955556,19.0,34.4,0.0,0,3.966667,25.654701
