location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
TR,2020-01-01,Q43,Turkey,,,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR,2020-01-02,Q43,Turkey,0.0,0.0,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR,2020-01-03,Q43,Turkey,0.0,0.0,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR,2020-01-04,Q43,Turkey,0.0,0.0,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR,2020-01-05,Q43,Turkey,0.0,0.0,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR,2020-01-06,Q43,Turkey,0.0,0.0,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR,2020-01-07,Q43,Turkey,0.0,0.0,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR,2020-01-08,Q43,Turkey,0.0,0.0,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR,2020-01-09,Q43,Turkey,0.0,0.0,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR,2020-01-10,Q43,Turkey,0.0,0.0,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR,2020-01-11,Q43,Turkey,0.0,0.0,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR,2020-01-12,Q43,Turkey,0.0,0.0,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR,2020-01-13,Q43,Turkey,0.0,0.0,82003882,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
