location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
TV,2020-01-01,Q672,Tuvalu,,,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,29.833333,27.0,32.5,5.08,0,25.777778,78.912481
TV,2020-01-02,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,29.333333,26.0,32.111111,2.032,0,24.944444,77.293118
TV,2020-01-03,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,30.111111,25.0,33.388889,0.0,0,25.0,74.153468
TV,2020-01-04,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,30.166667,27.111111,32.611111,1.016,0,25.388889,75.648737
TV,2020-01-05,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,30.111111,27.0,33.111111,3.048,0,26.055556,78.950768
TV,2020-01-06,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,29.888889,28.0,33.0,0.0,0,25.722222,78.402054
TV,2020-01-07,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,30.055556,28.0,33.222222,9.398,0,26.0,78.943118
TV,2020-01-08,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,28.555556,26.0,32.5,22.098,0,25.722222,84.681764
TV,2020-01-09,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,28.944444,25.277778,32.0,9.906,0,25.666667,82.521101
TV,2020-01-10,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,29.861111,25.916667,32.416667,3.556,0,26.194444,80.782339
TV,2020-01-11,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,29.666667,27.0,33.111111,8.636,0,26.0,80.728794
TV,2020-01-12,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,28.055556,26.0,32.0,0.0,0,25.555556,86.323309
TV,2020-01-13,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,29.944444,25.777778,33.0,10.414,0,25.777778,78.409879
TV,2020-01-14,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,28.444444,26.0,32.777778,1.016,0,25.444444,83.836244
TV,2020-01-15,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,29.0,25.888889,32.111111,5.334,0,25.333333,80.643452
TV,2020-01-16,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,27.666667,25.0,29.277778,3.556,0,25.333333,87.146738
TV,2020-01-17,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,28.388889,25.444444,30.75,42.164,0,25.666667,85.235156
TV,2020-01-18,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,29.388889,24.888889,32.0,91.186,0,26.0,82.03216
TV,2020-01-19,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,28.388889,23.722222,32.222222,14.224,0,25.611111,84.944059
TV,2020-01-20,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,27.555556,24.277778,30.0,70.612,0,25.166667,86.849115
TV,2020-01-21,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,27.555556,24.277778,30.388889,54.102,0,25.555556,88.880819
TV,2020-01-22,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,28.333333,26.0,30.777778,0.0,0,25.444444,84.379604
TV,2020-01-23,Q672,Tuvalu,0.0,0.0,11792,-7.475,178.005556,0,0,0,0,0,0,0,0,0,0,28.138889,25.083333,31.0,38.735,0,25.194444,84.109582
