location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
UM,2020-01-01,Q16645,United States Minor Outlying Islands,0,0,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,24.055556,23.25,26.027778,0.0,0,15.222222,57.014381
UM,2020-01-02,Q16645,United States Minor Outlying Islands,0,0,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,24.944444,23.638889,26.694444,0.0,0,17.777778,63.606213
UM,2020-01-03,Q16645,United States Minor Outlying Islands,0,0,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,25.138889,23.305556,26.972222,0.0,0,21.222222,77.498311
UM,2020-01-04,Q16645,United States Minor Outlying Islands,0,0,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,25.694444,24.194444,27.805556,0.0,0,22.611111,82.428193
UM,2020-01-05,Q16645,United States Minor Outlying Islands,0,0,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,25.972222,24.166667,28.666667,0.0,0,22.277778,79.197317
UM,2020-01-06,Q16645,United States Minor Outlying Islands,0,0,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,25.527778,23.444444,28.583333,0.0,0,21.833333,80.717603
UM,2020-01-07,Q16645,United States Minor Outlying Islands,0,0,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,25.388889,23.75,27.694444,0.0,0,20.888889,76.684093
UM,2020-01-08,Q16645,United States Minor Outlying Islands,0,0,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,24.944444,23.861111,26.75,0.0,0,20.555556,76.12702
UM,2020-01-09,Q16645,United States Minor Outlying Islands,0,0,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,25.25,23.944444,26.916667,0.0,0,20.888889,76.938043
UM,2020-01-10,Q16645,United States Minor Outlying Islands,0,0,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,25.583333,24.111111,27.5,0.0,0,21.444444,77.787253
UM,2020-01-11,Q16645,United States Minor Outlying Islands,0,0,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,26.027778,23.805556,28.5,0.0,0,22.166667,78.663421
UM,2020-01-12,Q16645,United States Minor Outlying Islands,0,0,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,25.555556,23.0,29.138889,0.0,0,21.166667,76.980104
UM,2020-01-13,Q16645,United States Minor Outlying Islands,0,0,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,24.944444,23.138889,26.694444,0.0,0,19.611111,72.283357
UM,2020-01-14,Q16645,United States Minor Outlying Islands,0,0,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,24.388889,22.833333,25.805556,0.0,0,16.722222,62.121738
UM,2020-01-15,Q16645,United States Minor Outlying Islands,0,0,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,24.583333,22.694444,26.111111,0.0,0,19.333333,72.715682
UM,2020-01-16,Q16645,United States Minor Outlying Islands,0,0,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,25.638889,23.444444,27.055556,0.0,0,21.944444,79.412203
UM,2020-01-17,Q16645,United States Minor Outlying Islands,0,0,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,25.944444,24.444444,27.416667,0.0,0,22.277778,79.457858
UM,2020-01-18,Q16645,United States Minor Outlying Islands,0,0,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,25.888889,24.5,27.611111,0.0,0,22.388889,80.524227
UM,2020-01-19,Q16645,United States Minor Outlying Islands,0,0,190,19.3,166.633333,0,0,0,0,0,0,0,0,0,0,26.222222,24.75,28.75,0.0,0,23.444444,83.615085
