location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
UY,2020-01-01,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.401235,20.179012,24.67284,0.5715,,18.561728,79.291695
UY,2020-01-02,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.516667,18.733333,25.777778,0.22225,,17.333333,72.829311
UY,2020-01-03,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,17.994444,27.216667,0.0,,16.7,66.495434
UY,2020-01-04,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.450617,16.969136,28.061728,0.0,,15.722222,62.336134
UY,2020-01-05,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.339506,17.882716,30.518519,0.0,,16.839506,59.583381
UY,2020-01-06,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.092593,19.740741,27.5,0.8255,,15.438272,58.754425
UY,2020-01-07,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.45,15.666667,27.988889,0.366889,,11.444444,47.817075
UY,2020-01-08,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.977778,15.588889,32.688889,0.0,,12.705556,44.131148
UY,2020-01-09,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.85,19.638889,28.255556,3.048,,18.194444,70.90416
UY,2020-01-10,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.506173,19.654321,28.950617,0.564444,,18.549383,69.947099
UY,2020-01-11,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.123457,18.024691,30.203704,0.0,,15.537037,57.131002
UY,2020-01-12,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.12963,18.234568,29.271605,0.0,,15.537037,55.934614
UY,2020-01-13,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.238889,16.188889,29.333333,0.0,,13.422222,54.939264
UY,2020-01-14,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.438889,19.455556,32.888889,0.0,,17.55,58.476281
UY,2020-01-15,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.661111,20.338889,27.9,16.129,,20.983333,85.116104
UY,2020-01-16,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.388889,15.594444,23.511111,8.128,,8.627778,47.2526
UY,2020-01-17,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.572222,12.783333,25.116667,0.0,,10.522222,52.853899
UY,2020-01-18,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.506173,13.753086,29.024691,0.0,,13.154321,55.768847
UY,2020-01-19,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.561728,19.018519,32.722222,0.0,,17.197531,56.715958
UY,2020-01-20,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.772222,21.594444,33.627778,0.0,,20.777778,66.146855
UY,2020-01-21,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.477778,22.072222,28.666667,6.773333,,21.611111,79.376794
UY,2020-01-22,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.872222,21.472222,29.694444,0.0508,,19.683333,69.047402
UY,2020-01-23,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.155556,18.911111,30.005556,0.0,,17.505556,62.987425
UY,2020-01-24,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.672222,17.944444,31.172222,0.0,,17.394444,60.501986
UY,2020-01-25,Q77,Uruguay,0.0,0.0,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.37037,20.58642,31.037037,0.0,,19.234568,65.150901
