location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
VE,2020-01-01,Q717,Venezuela,0.0,0.0,28435943,8.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.907407,23.259259,32.333333,0.0,0,20.87037,66.611623
VE,2020-01-02,Q717,Venezuela,0.0,0.0,28435943,8.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.203704,24.666667,32.537037,0.0,0,21.203704,63.307981
VE,2020-01-03,Q717,Venezuela,0.0,0.0,28435943,8.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.462963,22.925926,33.0,0.0,0,21.462963,66.084272
VE,2020-01-04,Q717,Venezuela,0.0,0.0,28435943,8.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.259259,24.462963,32.407407,0.0,0,21.0,61.445926
VE,2020-01-05,Q717,Venezuela,0.0,0.0,28435943,8.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.537037,21.462963,32.0,0.0,0,20.888889,63.821168
VE,2020-01-06,Q717,Venezuela,0.0,0.0,28435943,8.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.944444,24.666667,31.462963,0.0,0,21.5,68.292996
VE,2020-01-07,Q717,Venezuela,0.0,0.0,28435943,8.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,24.87037,33.12963,0.0,0,21.481481,63.109179
VE,2020-01-08,Q717,Venezuela,0.0,0.0,28435943,8.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.907407,23.12963,33.0,0.0,0,21.388889,64.288754
VE,2020-01-09,Q717,Venezuela,0.0,0.0,28435943,8.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.833333,23.888889,32.694444,0.0,0,22.305556,68.293801
VE,2020-01-10,Q717,Venezuela,0.0,0.0,28435943,8.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.296296,24.796296,30.740741,0.0,0,20.685185,64.42215
VE,2020-01-11,Q717,Venezuela,0.0,0.0,28435943,8.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.777778,23.666667,32.333333,0.0,0,21.537037,69.491489
VE,2020-01-12,Q717,Venezuela,0.0,0.0,28435943,8.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.592593,23.259259,32.333333,0.0,0,21.537037,66.556721
VE,2020-01-13,Q717,Venezuela,0.0,0.0,28435943,8.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.703704,23.12963,32.666667,0.0,0,21.314815,68.846712
VE,2020-01-14,Q717,Venezuela,0.0,0.0,28435943,8.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.648148,23.074074,32.462963,0.0,0,20.722222,62.988081
VE,2020-01-15,Q717,Venezuela,0.0,0.0,28435943,8.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.325397,21.452381,32.309524,0.0,0,19.420635,66.268119
VE,2020-01-16,Q717,Venezuela,0.0,0.0,28435943,8.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.261905,23.515873,31.611111,0.0508,0,21.222222,70.053055
VE,2020-01-17,Q717,Venezuela,0.0,0.0,28435943,8.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.452381,24.785714,31.357143,0.0,0,20.992063,64.701649
