location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
VN,2020-01-01,Q881,Vietnam,0.0,0.0,97338583,16.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.006944,18.958333,28.993056,7.6835,0,19.909722,74.553716
VN,2020-01-02,Q881,Vietnam,0.0,0.0,97338583,16.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.784722,20.229167,28.458333,4.572,0,19.965278,76.404595
VN,2020-01-03,Q881,Vietnam,0.0,0.0,97338583,16.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.597222,19.729167,29.361111,1.3335,0,19.354167,73.958337
VN,2020-01-04,Q881,Vietnam,0.0,0.0,97338583,16.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.701389,19.819444,29.430556,0.381,0,18.368056,69.78877
VN,2020-01-05,Q881,Vietnam,0.0,0.0,97338583,16.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.215278,18.236111,29.777778,0.508,0,18.465278,71.325957
VN,2020-01-06,Q881,Vietnam,0.0,0.0,97338583,16.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.791667,18.270833,30.354167,0.0,0,18.506944,69.286032
VN,2020-01-07,Q881,Vietnam,0.0,0.0,97338583,16.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.159722,19.166667,30.847222,0.0,0,20.0,73.922536
VN,2020-01-08,Q881,Vietnam,0.0,0.0,97338583,16.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.229167,20.854167,30.236111,2.25425,0,20.159722,74.831283
VN,2020-01-09,Q881,Vietnam,0.0,0.0,97338583,16.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.361111,19.527778,31.020833,0.0635,0,19.902778,72.729257
VN,2020-01-10,Q881,Vietnam,0.0,0.0,97338583,16.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.548611,19.256944,31.048611,0.0,0,19.888889,72.006308
VN,2020-01-11,Q881,Vietnam,0.0,0.0,97338583,16.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,19.652778,29.923611,0.0,0,19.701389,71.463847
VN,2020-01-12,Q881,Vietnam,0.0,0.0,97338583,16.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.333333,20.347222,30.048611,0.1905,0,18.652778,68.057689
VN,2020-01-13,Q881,Vietnam,0.0,0.0,97338583,16.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.333333,18.284722,29.25,1.17475,0,18.020833,69.64729
VN,2020-01-14,Q881,Vietnam,0.0,0.0,97338583,16.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.284722,17.458333,30.0625,0.0,0,17.333333,66.094757
VN,2020-01-15,Q881,Vietnam,0.0,0.0,97338583,16.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.215278,17.659722,30.701389,0.0,0,17.576389,67.339648
VN,2020-01-16,Q881,Vietnam,0.0,0.0,97338583,16.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.125,17.833333,31.166667,0.0,0,18.652778,68.63824
VN,2020-01-17,Q881,Vietnam,0.0,0.0,97338583,16.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.847222,18.291667,30.513889,0.254,0,18.118056,68.112837
