location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
VU,2020-01-01,Q686,Vanuatu,0.0,0.0,307150,-16.633331,168.016669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.194444,22.638889,30.055556,0.254,0,22.277778,74.611601
VU,2020-01-02,Q686,Vanuatu,0.0,0.0,307150,-16.633331,168.016669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.402778,21.916667,29.902778,0.8255,0,21.236111,73.381853
VU,2020-01-03,Q686,Vanuatu,0.0,0.0,307150,-16.633331,168.016669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.875,21.875,30.125,0.0,0,22.069444,75.080558
VU,2020-01-04,Q686,Vanuatu,0.0,0.0,307150,-16.633331,168.016669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.152778,23.805556,30.25,0.254,0,22.092593,71.270126
VU,2020-01-05,Q686,Vanuatu,0.0,0.0,307150,-16.633331,168.016669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.013889,23.902778,30.569444,0.0,0,23.277778,74.785853
VU,2020-01-06,Q686,Vanuatu,0.0,0.0,307150,-16.633331,168.016669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.291667,25.555556,30.569444,0.338667,0,25.680556,86.096152
VU,2020-01-07,Q686,Vanuatu,0.0,0.0,307150,-16.633331,168.016669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.185185,23.740741,31.12963,3.302,0,23.777778,77.038316
VU,2020-01-08,Q686,Vanuatu,0.0,0.0,307150,-16.633331,168.016669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.097222,24.152778,31.125,0.0,0,23.240741,76.545701
VU,2020-01-09,Q686,Vanuatu,0.0,0.0,307150,-16.633331,168.016669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12963,23.925926,31.092593,0.0,0,24.722222,81.878924
VU,2020-01-10,Q686,Vanuatu,0.0,0.0,307150,-16.633331,168.016669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.092593,24.166667,30.37037,4.445,0,25.111111,89.025649
VU,2020-01-11,Q686,Vanuatu,0.0,0.0,307150,-16.633331,168.016669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.407407,23.296296,28.425926,14.478,0,24.027778,89.651397
VU,2020-01-12,Q686,Vanuatu,0.0,0.0,307150,-16.633331,168.016669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.805556,22.138889,29.5,44.45,0,24.444444,86.958269
VU,2020-01-13,Q686,Vanuatu,0.0,0.0,307150,-16.633331,168.016669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.083333,25.5,29.5,8.001,0,24.833333,87.597346
